code,name
7203,トヨタ自動車
9984,ソフトバンクグループ
8306,三菱UFJフィナンシャル・グループ
9432,NTT
8058,三菱商事
8001,伊藤忠商事
8031,三井物産
8591,オリックス
2914,JT
9101,日本郵船
