code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
3550,3550.T,スタジオアタオ,2026-06,OUT,1,51.76,52.49,True,True,0.72,2026-06,224.0,224.0,224.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,221.0,-1.34,,,,,,,,,,,,,,,,,,,81.27,,,,,,,,,,4.0,,,,,,tv_wilder_rsi14_sma5_v1,52.49,51.76,True,True,0.72
3566,3566.T,ユニフォームネクスト,2026-06,OUT,3,67.32,70.06,True,False,2.74,2026-04,810.0,863.0,863.0,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,837.0,3.33,16.48,,2.09,403.76,,,,73.0,9.77,15.19,9.56,5.23,10.5,29.4,23.8,2.5,1.39,6.32,71.98,85.35,69.47,-3.41,-4.83,18.46,2.58,9.68,0.37,10.11,96.0,,,,2026-12-29,2026-12-29,tv_wilder_rsi14_sma5_v1,70.06,67.32,False,True,2.74
3662,3662.T,エイチームホールディングス,2026-06,OUT,1,50.05,51.77,False,True,1.72,2026-06,1011.0,1011.0,1011.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,910.0,-9.99,27.59,22.06,1.87,474.17,,,,3.12,112.01,4.05,2.77,1.59,2.97,-7.9,-76.2,2.5,1.93,19.36,62.68,164.86,136.69,,,48.93,17.33,13.69,0.27,18.59,92.0,,,,2026-07-30,2026-07-30,tv_wilder_rsi14_sma5_v1,51.77,50.05,True,False,1.72
3776,3776.T,ブロードバンドタワー,2026-06,OUT,13,64.16,69.9,True,True,5.74,2025-06,154.0,285.0,285.0,85.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,230.0,49.35,,,,,,,,,,,,,,,,,,,45.78,,,,,,,,,,4.0,,,,,,tv_wilder_rsi14_sma5_v1,69.9,64.16,True,True,5.74
3791,3791.T,ＩＧポート,2026-06,OUT,3,45.35,45.38,True,False,0.03,2026-04,1334.0,1306.0,1306.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,1066.0,-20.09,33.17,7.68,2.23,493.73,,,,1.18,25.53,7.51,3.39,4.76,-12.5,-3.4,,2.68,2.53,0.96,59.8,223.04,154.67,10.82,7.54,69.33,0.96,11.66,0.6,20.22,96.0,,,,2027-05-28,2027-05-28,tv_wilder_rsi14_sma5_v1,45.38,45.35,False,True,0.03
3840,3840.T,パス,2026-06,OUT,4,34.77,36.47,True,True,1.69,2026-03,67.0,60.0,60.0,-10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,57.0,-14.93,,,2.43,23.04,,,,,0.0,-58.28,-19.71,-53.84,-67.71,-0.2,,3.01,0.99,13.12,75.42,46.3,45.23,-4.35,-8.38,3.57,2.5,-7.89,-0.38,82.68,84.0,,,,,,tv_wilder_rsi14_sma5_v1,36.47,34.77,True,True,1.69
3891,3891.T,ニッポン高度紙工業,2026-06,OUT,3,79.57,87.8,True,True,8.23,2026-04,6360.0,9710.0,9710.0,52.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,6730.0,5.82,,,,,,,,,,,,,,,,,,,73.59,,,,,,,,,,4.0,,,,,,tv_wilder_rsi14_sma5_v1,87.8,79.57,True,True,8.23
3905,3905.T,データセクション,2026-06,OUT,2,57.3,57.55,True,False,0.25,2026-05,6140.0,3465.0,3465.0,-43.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2134.0,-65.24,25.03,,3.46,652.53,,,,,0.0,25.74,13.36,8.33,21.93,1904.1,,1.71,1.3,2.8,67.77,721.53,723.16,-49.13,-84.81,4.17,5.44,41.16,0.24,31.93,88.0,,,,,,tv_wilder_rsi14_sma5_v1,57.55,57.3,False,True,0.25
3922,3922.T,ＰＲ　ＴＩＭＥＳ,2026-06,OUT,2,47.34,48.91,False,False,1.57,2026-05,2291.0,2282.0,2282.0,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2091.0,-8.73,11.74,16.72,2.91,705.61,,,,83.0,7.9,28.76,23.04,24.87,34.82,9.7,4.8,6.28,6.07,,80.06,276.92,195.8,,,79.07,0.0,38.84,0.59,13.51,88.0,,,,2027-02-25,2027-02-25,tv_wilder_rsi14_sma5_v1,48.91,47.34,False,False,1.57
3930,3930.T,はてな,2026-06,OUT,2,47.01,54.82,True,True,7.81,2026-05,929.0,1143.0,1143.0,23.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,805.0,-13.35,16.13,,1.06,706.77,,,,,0.0,-28.25,2.65,-19.13,3.48,-1.3,,3.24,2.58,11.8,87.98,22.48,15.22,-10.57,-0.93,9.76,2.5,2.69,0.04,3.0,88.0,,,,,,tv_wilder_rsi14_sma5_v1,54.82,47.01,True,True,7.81
