code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1429,1429.T,日本アクア,2022-01,OUT,6,54.79,54.92,True,False,0.13,2021-08,581.0,651.0,651.0,12.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,599.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.92,54.79,False,True,0.13
1716,1716.T,第一カッター興業,2022-01,OUT,1,57.48,58.79,True,True,1.3,2022-01,1387.0,1387.0,1387.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,1328.0,-4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.79,57.48,True,True,1.3
1793,1793.T,大本組,2022-01,OUT,2,59.8,59.83,True,False,0.03,2021-12,1048.33,1010.0,1010.0,-3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,971.67,-7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.83,59.8,False,True,0.03
1897,1897.T,金下建設,2022-01,OUT,1,43.72,44.72,True,True,1.01,2022-01,3590.0,3590.0,3590.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,3440.0,-4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,44.72,43.72,True,True,1.01
1948,1948.T,弘電社,2022-01,OUT,2,53.68,54.15,False,False,0.47,2021-12,988.0,984.0,984.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,952.0,-3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.15,53.68,False,False,0.47
2186,2186.T,ソーバル,2022-01,OUT,2,53.23,62.47,True,True,9.24,2021-12,1120.0,1272.0,1272.0,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,1050.0,-6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.47,53.23,True,True,9.24
2212,2212.T,山崎製パン,2022-01,OUT,1,46.21,46.28,False,True,0.07,2022-01,1641.0,1641.0,1641.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,1557.0,-5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.28,46.21,True,False,0.07
2292,2292.T,Ｓ　Ｆｏｏｄｓ,2022-01,OUT,4,51.64,54.83,True,True,3.18,2021-10,3290.0,3510.0,3510.0,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,3305.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.83,51.64,True,True,3.18
2300,2300.T,きょくとう,2022-01,OUT,2,44.62,45.19,True,False,0.56,2021-12,498.0,498.0,498.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,456.0,-8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,45.19,44.62,False,True,0.56
2345,2345.T,ＨＯＤＬ１,2022-01,OUT,2,38.27,39.67,True,True,1.4,2021-12,356.0,378.0,378.0,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,318.0,-10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,39.67,38.27,True,True,1.4
2497,2497.T,ユナイテッド,2022-01,OUT,9,59.04,59.94,True,False,0.9,2021-05,675.0,956.0,956.0,41.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,852.0,26.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.94,59.04,False,True,0.9
2612,2612.T,かどや製油,2022-01,OUT,1,48.16,48.82,True,True,0.66,2022-01,1355.0,1355.0,1355.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,1230.0,-9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,48.82,48.16,True,True,0.66
