code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1382,1382.T,ホーブ,2021-08,OUT,5,49.53,49.86,True,False,0.33,2021-04,918.0,960.0,960.0,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,930.0,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.86,49.53,False,True,0.33
1446,1446.T,キャンディル,2021-08,OUT,3,47.89,51.57,True,True,3.68,2021-06,597.0,626.0,626.0,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,569.0,-4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.57,47.89,True,True,3.68
1758,1758.T,太洋基礎工業,2021-08,OUT,1,47.51,47.81,True,True,0.3,2021-08,1703.33,1703.33,1703.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,1666.67,-2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,47.81,47.51,True,True,0.3
1762,1762.T,高松コンストラクショングループ,2021-08,OUT,1,40.74,42.71,False,True,1.97,2021-08,2083.0,2083.0,2083.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,2021.0,-2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.71,40.74,True,False,1.97
1766,1766.T,東建コーポレーション,2021-08,OUT,1,62.51,64.67,False,True,2.16,2021-08,10480.0,10480.0,10480.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,9930.0,-5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.67,62.51,True,False,2.16
1780,1780.T,ヤマウラ,2021-08,OUT,1,53.95,59.05,True,True,5.1,2021-08,960.0,960.0,960.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,916.0,-4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.05,53.95,True,True,5.1
1787,1787.T,ナカボーテック,2021-08,OUT,1,71.68,72.23,False,True,0.54,2021-08,6390.0,6390.0,6390.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,6100.0,-4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.23,71.68,True,False,0.54
1795,1795.T,マサル,2021-08,OUT,1,54.43,54.44,False,True,0.01,2021-08,3360.0,3360.0,3360.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,3300.0,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.44,54.43,True,False,0.01
1799,1799.T,第一建設工業,2021-08,OUT,6,68.65,69.43,True,True,0.78,2021-03,1939.0,2119.0,2119.0,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,2024.0,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,69.43,68.65,True,True,0.78
1808,1808.T,長谷工コーポレーション,2021-08,OUT,1,56.28,56.68,False,True,0.4,2021-08,1524.0,1524.0,1524.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,1501.0,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.68,56.28,True,False,0.4
