code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1301,1301.T,極洋,2024-01,OUT,1,64.02,65.57,True,True,1.55,2024-01,3960.0,3960.0,3960.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,3565.0,-9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.57,64.02,True,True,1.55
1417,1417.T,ミライト・ワン,2024-01,OUT,1,59.15,59.47,False,True,0.32,2024-01,1953.5,1953.5,1953.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1866.5,-4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.47,59.15,True,False,0.32
1762,1762.T,髙松コンストラクショングループ,2024-01,OUT,2,69.06,72.86,True,True,3.81,2023-12,2769.0,2971.0,2971.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,2842.0,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.86,69.06,True,True,3.81
1780,1780.T,ヤマウラ,2024-01,OUT,6,76.59,83.54,True,True,6.95,2023-08,1236.0,1654.0,1654.0,33.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1529.0,23.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,83.54,76.59,True,True,6.95
1801,1801.T,大成建設,2024-01,OUT,1,60.13,62.3,True,True,2.17,2024-01,5385.0,5385.0,5385.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,4707.0,-12.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.3,60.13,True,True,2.17
1808,1808.T,長谷工コーポレーション,2024-01,OUT,1,65.18,67.04,True,True,1.86,2024-01,1927.0,1927.0,1927.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1854.5,-3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.04,65.18,True,True,1.86
1813,1813.T,不動テトラ,2024-01,OUT,5,70.87,75.77,True,True,4.9,2023-09,2007.0,2338.0,2338.0,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,2140.0,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,75.77,70.87,True,True,4.9
1882,1882.T,東亜道路工業,2024-01,OUT,8,88.42,91.01,True,True,2.59,2023-06,934.0,1418.0,1418.0,51.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1302.0,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,91.01,88.42,True,True,2.59
1925,1925.T,大和ハウス工業,2024-01,OUT,15,72.78,78.07,True,True,5.29,2022-11,3159.0,4584.0,4584.0,45.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,4330.0,37.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,78.07,72.78,True,True,5.29
1926,1926.T,ライト工業,2024-01,OUT,1,53.5,56.55,False,True,3.06,2024-01,2067.0,2067.0,2067.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1906.0,-7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.55,53.5,True,False,3.06
1938,1938.T,日本リーテック,2024-01,OUT,1,49.84,51.3,True,True,1.47,2024-01,1300.0,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1232.0,-5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.3,49.84,True,True,1.47
1951,1951.T,エクシオグループ,2024-01,OUT,16,71.16,74.58,True,True,3.43,2022-10,1089.5,1651.5,1651.5,51.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,1574.0,44.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,74.58,71.16,True,True,3.43
2109,2109.T,ＤＭ三井製糖,2024-01,OUT,1,80.25,82.76,True,True,2.51,2024-01,3395.0,3395.0,3395.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,3230.0,-4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,82.76,80.25,True,True,2.51
2154,2154.T,オープンアップグループ,2024-01,OUT,3,58.52,62.59,True,False,4.07,2023-11,2159.0,2305.0,2305.0,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,2179.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.59,58.52,False,True,4.07
2175,2175.T,エス・エム・エス,2024-01,OUT,3,43.3,44.5,True,False,1.2,2023-11,2810.0,2687.5,2687.5,-4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,2651.5,-5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,44.5,43.3,False,True,1.2
2201,2201.T,森永製菓,2024-01,OUT,1,68.2,69.31,False,True,1.11,2024-01,2823.5,2823.5,2823.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,2689.5,-4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,69.31,68.2,True,False,1.11
2270,2270.T,雪印メグミルク,2024-01,OUT,1,57.62,57.86,False,True,0.24,2024-01,2317.0,2317.0,2317.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,2249.0,-2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,57.86,57.62,True,False,0.24
