code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1433,1433.T,ベステラ,2023-08,OUT,4,44.15,49.9,True,True,5.75,2023-05,913.0,1126.0,1126.0,23.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1007.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.9,44.15,True,True,5.75
167A,167A.T,リョーサン菱洋ホールディングス,2023-08,OUT,11,68.56,72.22,True,False,3.66,2022-10,2295.0,3445.0,3445.0,50.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,3290.0,43.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.22,68.56,False,True,3.66
1898,1898.T,世紀東急工業,2023-08,OUT,11,78.72,86.51,True,True,7.78,2022-10,819.0,1664.0,1664.0,103.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1568.0,91.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,86.51,78.72,True,True,7.78
1911,1911.T,住友林業,2023-08,OUT,8,75.98,82.21,True,True,6.23,2023-01,805.33,1368.67,1368.67,69.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1268.67,57.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,82.21,75.98,True,True,6.23
2117,2117.T,ウェルネオシュガー,2023-08,OUT,5,61.05,67.93,True,True,6.87,2023-04,1721.0,2163.0,2163.0,25.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,2073.0,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.93,61.05,True,True,6.87
2124,2124.T,ジェイエイシーリクルートメント,2023-08,OUT,3,60.01,60.8,False,False,0.8,2023-06,648.75,674.0,674.0,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,635.5,-2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.8,60.01,False,False,0.8
2157,2157.T,コシダカホールディングス,2023-08,OUT,5,70.14,73.97,True,True,3.83,2023-04,1147.0,1337.0,1337.0,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1175.0,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.97,70.14,True,True,3.83
2209,2209.T,井村屋グループ,2023-08,OUT,3,50.38,54.03,True,True,3.65,2023-06,2245.0,2329.0,2329.0,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,2264.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.03,50.38,True,True,3.65
2220,2220.T,亀田製菓,2023-08,OUT,3,46.98,48.79,True,True,1.81,2023-06,1441.67,1470.0,1470.0,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1365.0,-5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,48.79,46.98,True,True,1.81
2359,2359.T,コア,2023-08,OUT,11,62.16,62.51,True,True,0.35,2022-10,1478.0,1739.0,1739.0,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1719.0,16.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.51,62.16,True,True,0.35
2378,2378.T,ルネサンス,2023-08,OUT,2,41.4,43.49,True,True,2.09,2023-07,910.0,933.0,933.0,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,890.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.49,41.4,True,True,2.09
2475,2475.T,ＷＤＢホールディングス,2023-08,OUT,4,39.83,40.31,True,False,0.48,2023-05,2038.0,2082.0,2082.0,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,2042.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,40.31,39.83,False,True,0.48
2502,2502.T,アサヒグループホールディングス,2023-08,OUT,8,62.07,64.06,True,True,1.99,2023-01,1427.33,1892.0,1892.0,32.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1863.33,30.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.06,62.07,True,True,1.99
2585,2585.T,ライフドリンク   カンパニー,2023-08,OUT,1,81.76,83.83,True,True,2.07,2023-08,1030.0,1030.0,1030.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,945.0,-8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,83.83,81.76,True,True,2.07
2594,2594.T,キーコーヒー,2023-08,OUT,3,48.92,51.08,True,True,2.15,2023-06,2066.0,2097.0,2097.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,2023.0,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.08,48.92,True,True,2.15
2676,2676.T,高千穂交易,2023-08,OUT,3,76.86,81.71,True,True,4.85,2023-06,1565.0,1630.0,1630.0,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,1572.5,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,81.71,76.86,True,True,4.85
