code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
4392,4392.T,ＦＩＧ,2023-10,CONTINUE,3,35.77,100.0,False,True,64.23,2023-08,298.0,322.0,322.0,8.05,,,,,,,,,,,,,,,,,,,,,,,
2593,2593.T,伊藤園,2023-10,CONTINUE,3,30.2,85.22,True,True,55.02,2023-08,4309.0,4897.0,4897.0,13.65,,,,,,,,,,,,,,,,,,,,,,,
6753,6753.T,シャープ,2023-10,CONTINUE,3,46.43,100.0,True,True,53.57,2023-08,896.9,939.7,939.7,4.77,,,,,,,,,,,,,,,,,,,,,,,
1766,1766.T,東建コーポレーション,2023-10,CONTINUE,2,37.11,90.0,False,True,52.89,2023-09,7980.0,7900.0,7900.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,
5019,5019.T,出光興産,2023-10,CONTINUE,4,44.82,97.46,False,True,52.64,2023-07,600.0,683.8,683.8,13.97,,,,,,,,,,,,,,,,,,,,,,,
1414,1414.T,ショーボンドホールディングス,2023-10,CONTINUE,5,47.7,100.0,False,True,52.3,2023-06,1429.0,1480.0,1480.0,3.57,,,,,,,,,,,,,,,,,,,,,,,
9831,9831.T,ヤマダホールディングス,2023-10,NEW,1,48.95,100.0,True,True,51.05,2023-10,477.8,477.8,477.8,0.0,460.68,454.03,454.16,True,True,True,False,False,True,False,5310387.0,495.0,-3.47,False,1.56,1.43,1.0,False,1,True,5.15,1.0,False
3048,3048.T,ビックカメラ,2023-10,NEW,1,50.22,100.0,True,True,49.78,2023-10,1143.0,1143.0,1143.0,0.0,1106.4,1092.47,1112.71,True,True,True,False,True,True,False,597180.0,1325.0,-13.74,False,0.93,2.09,0.83,True,3,False,1.32,0.5,False
6194,6194.T,アトラエ,2023-10,CONTINUE,4,29.23,78.9,True,True,49.67,2023-07,798.0,994.0,994.0,24.56,,,,,,,,,,,,,,,,,,,,,,,
7102,7102.T,日本車輌製造,2023-10,CONTINUE,8,44.44,93.67,False,True,49.23,2023-03,2023.0,2088.0,2088.0,3.21,,,,,,,,,,,,,,,,,,,,,,,
9533,9533.T,東邦瓦斯,2023-10,CONTINUE,5,28.14,76.02,True,True,47.88,2023-06,623.12,648.25,648.25,4.03,,,,,,,,,,,,,,,,,,,,,,,
5714,5714.T,ＤＯＷＡホールディングス,2023-10,CONTINUE,7,38.68,85.96,False,True,47.29,2023-04,4430.0,4578.0,4578.0,3.34,,,,,,,,,,,,,,,,,,,,,,,
3880,3880.T,大王製紙,2023-10,CONTINUE,9,45.62,92.55,True,True,46.93,2023-02,1081.0,1236.0,1236.0,14.34,,,,,,,,,,,,,,,,,,,,,,,
2915,2915.T,ケンコーマヨネーズ,2023-10,CONTINUE,4,51.65,98.52,True,True,46.87,2023-07,1317.0,1562.0,1562.0,18.6,,,,,,,,,,,,,,,,,,,,,,,
4251,4251.T,恵和,2023-10,CONTINUE,2,28.04,74.3,False,True,46.26,2023-09,1415.0,1314.0,1314.0,-7.14,,,,,,,,,,,,,,,,,,,,,,,
9110,9110.T,ＮＳユナイテッド海運,2023-10,NEW,1,43.38,89.43,False,True,46.05,2023-10,4270.0,4270.0,4270.0,0.0,4148.2,4019.27,3945.18,True,True,True,True,False,True,True,154420.0,4775.0,-10.58,False,1.28,2.56,0.98,True,1,True,8.62,1.6,False
2922,2922.T,なとり,2023-10,CONTINUE,3,41.94,87.07,True,True,45.13,2023-08,1991.0,1998.0,1998.0,0.35,,,,,,,,,,,,,,,,,,,,,,,
8935,8935.T,ＦＪネクストホールディングス,2023-10,CONTINUE,7,54.18,98.25,True,True,44.06,2023-04,1033.0,1054.0,1054.0,2.03,,,,,,,,,,,,,,,,,,,,,,,
3922,3922.T,ＰＲＴＩＭＥＳ,2023-10,CONTINUE,2,31.77,75.68,False,False,43.91,2023-09,1737.0,1620.0,1620.0,-6.74,,,,,,,,,,,,,,,,,,,,,,,
7846,7846.T,パイロットコーポレーション,2023-10,CONTINUE,5,51.34,95.13,True,True,43.79,2023-06,1518.33,1697.33,1697.33,11.79,,,,,,,,,,,,,,,,,,,,,,,
4452,4452.T,花王,2023-10,CONTINUE,4,40.38,84.01,False,True,43.63,2023-07,2701.0,2747.0,2747.0,1.7,,,,,,,,,,,,,,,,,,,,,,,
8132,8132.T,シナネンホールディングス,2023-10,CONTINUE,4,54.38,97.67,False,True,43.3,2023-07,3920.0,4045.0,4045.0,3.19,,,,,,,,,,,,,,,,,,,,,,,
3580,3580.T,小松マテーレ,2023-10,CONTINUE,5,30.52,73.46,True,True,42.94,2023-06,675.0,716.0,716.0,6.07,,,,,,,,,,,,,,,,,,,,,,,
