code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
8107,8107.T,キムラタン,2024-11,CONTINUE,6,47.57,77.89,True,True,30.32,2024-06,18.0,31.0,31.0,72.22,17.2,17.4,18.2,True,True,False,False,False,False,False,979277.0,22.0,-18.18,False,0.26,5.56,1.0,False,4,False,-1.65,1.25,False,False,,tv_wilder_rsi14_sma5_v1,77.89,47.57,True,True,30.32
5858,5858.T,ＳＴＧ,2024-11,CONTINUE,2,28.07,49.22,True,True,21.15,2024-10,927.5,1350.0,1350.0,45.55,912.34,949.25,1186.79,True,False,False,False,False,False,False,6213.0,1955.0,-52.56,False,1.09,2.08,0.95,True,4,False,-24.1,1.2,False,False,,tv_wilder_rsi14_sma5_v1,49.22,28.07,True,True,21.15
3842,3842.T,ネクストジェン,2024-11,CONTINUE,3,49.37,68.58,True,True,19.22,2024-09,743.0,1134.0,1134.0,52.62,733.28,723.12,754.29,True,True,False,False,True,False,False,2203.0,944.0,-21.29,False,0.84,3.06,1.14,False,4,True,-2.33,0.9,False,False,,tv_wilder_rsi14_sma5_v1,68.58,49.37,True,True,19.22
7746,7746.T,岡本硝子,2024-11,NEW,1,44.53,63.13,True,True,18.6,2024-11,171.0,171.0,171.0,0.0,123.0,122.97,129.12,True,True,True,False,True,False,False,1113690.0,183.0,-6.56,False,5.77,5.47,1.56,False,1,True,32.1,11.32,True,False,,tv_wilder_rsi14_sma5_v1,63.13,44.53,True,True,18.6
9193,9193.T,東京汽船,2024-11,NEW,1,50.2,68.71,True,True,18.51,2024-11,754.0,754.0,754.0,0.0,667.12,591.21,610.69,True,True,True,False,True,True,True,37717.0,813.0,-7.26,False,0.62,3.54,0.52,True,1,True,28.69,9.95,False,False,,tv_wilder_rsi14_sma5_v1,68.71,50.2,True,True,18.51
4499,4499.T,Ｓｐｅｅｅ,2024-11,CONTINUE,4,52.1,70.21,True,True,18.11,2024-08,1580.0,4875.0,4875.0,208.54,1311.56,1402.49,1691.47,True,True,False,False,False,False,False,47353.0,4425.0,-64.29,False,1.02,4.8,0.76,True,4,True,-18.06,11.49,False,False,,tv_wilder_rsi14_sma5_v1,70.21,52.1,True,True,18.11
7057,7057.T,エヌ・シー・エヌ,2024-11,CONTINUE,2,42.18,59.9,True,True,17.71,2024-10,921.0,1114.0,1114.0,20.96,873.92,840.8,887.8,True,True,True,False,True,True,False,1127.0,978.0,-5.83,False,0.96,1.8,1.1,False,1,True,1.26,3.2,False,False,,tv_wilder_rsi14_sma5_v1,59.9,42.18,True,True,17.71
3807,3807.T,フィスコ,2024-11,NEW,1,37.15,53.8,True,True,16.65,2024-11,124.0,124.0,124.0,0.0,107.56,87.31,93.38,True,True,True,False,True,True,True,5809237.0,162.0,-23.46,False,0.17,16.53,0.77,True,1,True,38.69,12.66,False,False,,tv_wilder_rsi14_sma5_v1,53.8,37.15,True,True,16.65
4583,4583.T,カイオム・バイオサイエンス,2024-11,NEW,1,43.25,59.73,True,True,16.47,2024-11,207.0,207.0,207.0,0.0,131.56,117.53,126.14,True,True,True,False,True,True,False,11153700.0,304.0,-31.91,False,4.52,12.11,1.82,False,1,True,63.25,44.22,False,False,,tv_wilder_rsi14_sma5_v1,59.73,43.25,True,True,16.47
2432,2432.T,ディー・エヌ・エー,2024-11,CONTINUE,6,56.34,71.88,True,True,15.54,2024-06,1595.0,2437.5,2437.5,52.82,1531.88,1528.48,1480.69,True,True,True,True,True,True,True,614433.0,1931.5,-17.42,False,0.95,2.13,1.04,False,1,True,4.57,1.99,False,False,,tv_wilder_rsi14_sma5_v1,71.88,56.34,True,True,15.54
8219,8219.T,青山商事,2024-11,NEW,1,55.5,70.4,True,True,14.9,2024-11,751.0,751.0,751.0,0.0,579.45,497.03,514.55,True,True,True,False,True,True,True,1816110.0,771.33,-2.64,False,1.24,4.79,0.86,True,1,True,50.96,24.88,False,False,,tv_wilder_rsi14_sma5_v1,70.4,55.5,True,True,14.9
7220,7220.T,武蔵精密工業,2024-11,NEW,1,63.71,78.31,True,True,14.61,2024-11,3305.0,3305.0,3305.0,0.0,2714.2,2229.72,1926.85,True,True,True,True,True,True,True,947603.0,3595.0,-8.07,False,1.05,7.86,0.84,True,2,True,83.34,21.49,False,False,,tv_wilder_rsi14_sma5_v1,78.31,63.71,True,True,14.61
3825,3825.T,リミックスポイント,2024-11,NEW,1,46.51,60.96,True,True,14.45,2024-11,341.0,341.0,341.0,0.0,226.24,184.93,176.62,True,True,True,True,True,True,True,9064210.0,419.0,-18.62,False,2.21,13.18,1.54,False,2,True,96.19,49.99,False,False,,tv_wilder_rsi14_sma5_v1,60.96,46.51,True,True,14.45
1975,1975.T,朝日工業社,2024-11,NEW,1,58.2,72.64,True,True,14.44,2024-11,1923.0,1923.0,1923.0,0.0,1578.44,1398.63,1445.27,True,True,True,False,True,True,True,128343.0,1940.0,-0.88,False,1.24,4.69,0.97,True,1,True,38.82,13.78,False,False,,tv_wilder_rsi14_sma5_v1,72.64,58.2,True,True,14.44
9605,9605.T,東映,2024-11,CONTINUE,5,65.79,80.2,True,True,14.41,2024-07,3880.0,6360.0,6360.0,63.92,3807.6,3728.13,3813.76,True,True,True,False,True,False,False,47540.0,4348.0,-10.76,False,1.07,1.82,1.0,False,1,True,4.47,1.02,False,False,,tv_wilder_rsi14_sma5_v1,80.2,65.79,True,True,14.41
8185,8185.T,チヨダ,2024-11,CONTINUE,3,63.29,77.56,True,True,14.28,2024-09,984.0,1438.0,1438.0,46.14,933.84,925.65,898.73,True,True,True,True,True,True,True,82017.0,1046.0,-5.93,False,1.24,2.46,1.07,False,2,True,7.68,5.01,False,False,,tv_wilder_rsi14_sma5_v1,77.56,63.29,True,True,14.28
6481,6481.T,ＴＨＫ,2024-11,NEW,1,47.8,61.94,True,True,14.14,2024-11,3609.0,3609.0,3609.0,0.0,3045.44,2722.76,2982.95,True,True,True,False,True,True,True,1124793.0,3778.0,-4.47,False,1.18,4.8,0.87,True,1,True,25.35,12.06,False,False,,tv_wilder_rsi14_sma5_v1,61.94,47.8,True,True,14.14
