code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1431,1431.T,Ｌｉｂ　Ｗｏｒｋ,2026-04,OUT,1,41.8,42.33,False,True,0.53,2026-04,649.0,649.0,649.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,643.0,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.33,41.8,True,False,0.53
1435,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,2026-04,OUT,1,52.56,55.02,False,True,2.45,2026-04,202.0,202.0,202.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,164.0,-18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,55.02,52.56,True,False,2.45
1438,1438.T,岐阜造園,2026-04,OUT,1,54.13,56.01,False,True,1.88,2026-04,1870.0,1870.0,1870.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,1833.0,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.01,54.13,True,False,1.88
157A,157A.T,グリーンモンスター,2026-04,OUT,8,43.65,48.24,True,True,4.6,2025-09,543.0,1143.0,1143.0,110.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,905.0,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,48.24,43.65,True,True,4.6
1764,1764.T,工藤建設,2026-04,OUT,1,61.14,61.76,True,True,0.62,2026-04,3255.0,3255.0,3255.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,2907.0,-10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.76,61.14,True,True,0.62
177A,177A.T,コージンバイオ,2026-04,OUT,1,31.87,42.15,True,True,10.28,2026-04,1473.0,1473.0,1473.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,1007.0,-31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.15,31.87,True,True,10.28
1878,1878.T,大東建託,2026-04,OUT,4,55.6,58.08,True,False,2.48,2026-01,3135.0,3518.0,3518.0,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,3172.0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.08,55.6,False,True,2.48
1897,1897.T,金下建設,2026-04,OUT,4,66.11,72.49,True,True,6.39,2026-01,3235.0,3440.0,3440.0,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,3250.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.49,66.11,True,True,6.39
1899,1899.T,福田組,2026-04,OUT,3,71.19,73.73,False,True,2.53,2026-02,3925.0,4190.0,4190.0,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,3745.0,-4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.73,71.19,True,False,2.53
1904,1904.T,大成温調,2026-04,OUT,12,70.51,72.74,True,True,2.23,2025-05,3940.0,5210.0,5210.0,32.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,5170.0,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.74,70.51,True,True,2.23
