code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1414,1414.T,ショーボンドホールディングス,2021-12,OUT,2,57.5,60.86,True,True,3.36,2021-11,1221.25,1292.5,1292.5,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,1252.5,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.86,57.5,True,True,3.36
1515,1515.T,日鉄鉱業,2021-12,OUT,1,57.92,58.05,True,True,0.13,2021-12,659.0,659.0,659.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,637.0,-3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.05,57.92,True,True,0.13
1518,1518.T,三井松島ホールディングス,2021-12,OUT,1,66.07,71.85,True,True,5.79,2021-12,378.2,378.2,378.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,351.0,-7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,71.85,66.07,True,True,5.79
167A,167A.T,リョーサン菱洋ホールディングス,2021-12,OUT,1,46.87,49.4,True,True,2.53,2021-12,2398.0,2398.0,2398.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,2162.0,-9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.4,46.87,True,True,2.53
1878,1878.T,大東建託,2021-12,OUT,1,53.31,53.56,False,True,0.25,2021-12,2634.0,2634.0,2634.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,2620.0,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.56,53.31,True,False,0.25
1879,1879.T,新日本建設,2021-12,OUT,1,46.38,46.84,False,True,0.46,2021-12,817.0,817.0,817.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,749.0,-8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.84,46.38,True,False,0.46
1911,1911.T,住友林業,2021-12,OUT,4,58.64,58.75,True,False,0.11,2021-09,714.67,742.0,742.0,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,666.67,-6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.75,58.64,False,True,0.11
1928,1928.T,積水ハウス,2021-12,OUT,1,57.06,60.22,True,True,3.17,2021-12,2469.0,2469.0,2469.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,2314.5,-6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.22,57.06,True,True,3.17
1938,1938.T,日本リーテック,2021-12,OUT,1,42.67,43.3,False,True,0.63,2021-12,1554.0,1554.0,1554.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,1369.0,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.3,42.67,True,False,0.63
1968,1968.T,太平電業,2021-12,OUT,1,59.85,62.57,True,True,2.72,2021-12,956.67,956.67,956.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,904.0,-5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.57,59.85,True,True,2.72
1982,1982.T,日比谷総合設備,2021-12,OUT,1,53.41,58.92,True,True,5.51,2021-12,1028.0,1028.0,1028.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,941.5,-8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.92,53.41,True,True,5.51
2146,2146.T,ＵＴグループ,2021-12,OUT,4,57.26,63.14,True,True,5.88,2021-09,225.0,288.33,288.33,28.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,216.33,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.14,57.26,True,True,5.88
2154,2154.T,オープンアップグループ,2021-12,OUT,4,54.47,59.49,True,True,5.02,2021-09,1310.0,1693.0,1693.0,29.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,1560.0,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.49,54.47,True,True,5.02
2175,2175.T,エス・エム・エス,2021-12,OUT,5,65.66,67.46,True,True,1.8,2021-08,3895.0,4530.0,4530.0,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,3100.0,-20.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.46,65.66,True,True,1.8
2181,2181.T,パーソルホールディングス,2021-12,OUT,7,69.64,73.87,True,True,4.23,2021-06,219.5,334.0,334.0,52.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,292.5,33.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.87,69.64,True,True,4.23
