code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1375,1375.T,ユキグニファクトリー,2024-08,OUT,3,42.73,45.29,True,True,2.56,2024-06,1014.0,1030.0,1030.0,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1001.0,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,45.29,42.73,True,True,2.56
1379,1379.T,ホクト,2024-08,OUT,8,50.65,51.38,True,False,0.73,2024-01,1799.0,1878.0,1878.0,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1821.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.38,50.65,False,True,0.73
1801,1801.T,大成建設,2024-08,OUT,6,65.61,69.33,True,True,3.72,2024-03,5648.0,6603.0,6603.0,16.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,6260.0,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,69.33,65.61,True,True,3.72
1870,1870.T,矢作建設工業,2024-08,OUT,3,77.56,78.37,False,False,0.81,2024-06,1672.0,1669.0,1669.0,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1534.0,-8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,78.37,77.56,False,False,0.81
1878,1878.T,大東建託,2024-08,OUT,2,63.66,66.57,False,False,2.91,2024-07,3627.0,3600.0,3600.0,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,3482.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,66.57,63.66,False,False,2.91
1888,1888.T,若築建設,2024-08,OUT,1,62.28,65.51,False,True,3.23,2024-08,3705.0,3705.0,3705.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,3435.0,-7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.51,62.28,True,False,3.23
1939,1939.T,四電工,2024-08,OUT,1,73.13,73.48,False,False,0.35,2024-08,1281.67,1281.67,1281.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1270.0,-0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.48,73.13,False,False,0.35
1963,1963.T,日揮ホールディングス,2024-08,OUT,1,42.29,42.95,False,True,0.67,2024-08,1330.0,1330.0,1330.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1252.5,-5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.95,42.29,True,False,0.67
1968,1968.T,太平電業,2024-08,OUT,4,72.96,76.06,True,True,3.1,2024-05,1766.67,1843.33,1843.33,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1726.67,-2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,76.06,72.96,True,True,3.1
2002,2002.T,日清製粉グループ本社,2024-08,OUT,1,51.36,51.37,False,True,0.01,2024-08,1888.5,1888.5,1888.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1818.5,-3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.37,51.36,True,False,0.01
2168,2168.T,パソナグループ,2024-08,OUT,2,51.48,52.02,False,False,0.55,2024-07,2383.0,2273.0,2273.0,-4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,2199.0,-7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.02,51.48,False,False,0.55
2269,2269.T,明治ホールディングス,2024-08,OUT,5,53.91,54.13,True,False,0.22,2024-04,3525.0,3626.0,3626.0,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,3590.0,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.13,53.91,False,True,0.22
2378,2378.T,ルネサンス,2024-08,OUT,2,52.5,55.48,True,False,2.97,2024-07,1050.0,1047.0,1047.0,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1006.0,-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,55.48,52.5,False,True,2.97
2410,2410.T,キャリアデザインセンター,2024-08,OUT,3,53.34,55.65,True,True,2.31,2024-06,1846.0,1932.0,1932.0,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1726.0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,55.65,53.34,True,True,2.31
2491,2491.T,バリューコマース,2024-08,OUT,4,32.6,32.65,True,False,0.05,2024-05,1179.0,1141.0,1141.0,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,1121.0,-4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,32.65,32.6,False,True,0.05
2594,2594.T,キーコーヒー,2024-08,OUT,4,50.86,53.95,True,False,3.1,2024-05,2044.0,2107.0,2107.0,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,2010.0,-1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.95,50.86,False,True,3.1
