code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
4082,4082.T,第一稀元素化学工業,2025-10,CONTINUE,4,41.28,75.46,True,True,34.18,2025-07,686.0,1308.0,1308.0,90.67,662.2,651.91,690.92,True,True,False,False,True,False,False,32863.0,888.0,-22.75,False,1.09,1.66,1.02,False,4,True,-6.22,0.92,False,False,,tv_wilder_rsi14_sma5_v1,75.46,41.28,True,True,34.18
4446,4446.T,Ｌｉｎｋ－Ｕグループ,2025-10,CONTINUE,3,43.1,71.81,True,True,28.71,2025-08,390.0,1059.0,1059.0,171.54,354.92,357.41,388.86,True,True,True,False,True,False,False,38410.0,555.0,-29.73,False,2.71,3.72,1.45,False,3,True,-8.6,6.28,False,False,,tv_wilder_rsi14_sma5_v1,71.81,43.1,True,True,28.71
6981,6981.T,村田製作所,2025-10,CONTINUE,4,48.99,65.9,True,True,16.91,2025-07,2267.5,3392.0,3392.0,49.59,2161.92,2108.81,2387.59,True,True,False,False,True,False,False,6493917.0,3723.0,-39.09,False,1.59,2.91,1.28,False,4,True,-12.46,0.33,True,False,,tv_wilder_rsi14_sma5_v1,65.9,48.99,True,True,16.91
4062,4062.T,イビデン,2025-10,CONTINUE,6,64.74,81.4,True,True,16.66,2025-05,2955.5,7307.5,7307.5,147.25,2397.46,2102.85,2253.43,True,True,True,False,True,True,False,4792947.0,3594.0,-17.77,False,1.22,3.55,0.92,True,3,True,33.24,18.66,False,False,,tv_wilder_rsi14_sma5_v1,81.4,64.74,True,True,16.66
2737,2737.T,トーメンデバイス,2025-10,CONTINUE,6,56.97,73.06,True,True,16.09,2025-05,5690.0,9440.0,9440.0,65.91,5486.2,5690.13,6049.1,True,False,False,False,True,False,False,25443.0,8160.0,-30.27,False,0.55,1.69,0.84,True,1,True,-10.02,2.06,False,False,,tv_wilder_rsi14_sma5_v1,73.06,56.97,True,True,16.09
5991,5991.T,日本発条,2025-10,CONTINUE,4,65.4,80.45,True,True,15.05,2025-07,1714.0,2899.0,2899.0,69.14,1640.0,1595.39,1728.77,True,True,False,False,True,True,False,608953.0,2094.0,-18.15,False,1.22,1.55,1.17,False,4,True,-0.58,0.61,False,False,,tv_wilder_rsi14_sma5_v1,80.45,65.4,True,True,15.05
7102,7102.T,日本車輌製造,2025-10,CONTINUE,6,63.9,78.03,True,True,14.13,2025-05,2098.0,3345.0,3345.0,59.44,2056.08,2051.52,2122.41,True,True,False,False,True,False,False,14227.0,2816.0,-25.5,False,0.61,1.57,0.82,True,1,True,-2.54,2.66,False,False,,tv_wilder_rsi14_sma5_v1,78.03,63.9,True,True,14.13
7389,7389.T,あいちフィナンシャルグループ,2025-10,CONTINUE,4,63.76,77.67,True,True,13.91,2025-07,543.8,795.0,795.0,46.19,527.82,518.6,512.76,True,True,True,True,True,False,True,654450.0,608.0,-10.56,False,0.94,2.03,1.15,False,2,True,5.68,0.74,False,False,,tv_wilder_rsi14_sma5_v1,77.67,63.76,True,True,13.91
4971,4971.T,メック,2025-10,CONTINUE,6,51.33,65.07,True,True,13.73,2025-05,2599.0,4570.0,4570.0,75.84,2456.92,2468.65,3133.82,True,True,False,False,True,False,False,192033.0,4700.0,-44.7,False,0.91,2.81,0.85,True,4,False,-17.83,5.02,False,False,,tv_wilder_rsi14_sma5_v1,65.07,51.33,True,True,13.73
4004,4004.T,レゾナック・ホールディングス,2025-10,CONTINUE,5,63.67,77.0,True,True,13.33,2025-06,3349.0,6039.0,6039.0,80.32,3139.16,2959.67,3464.32,True,True,False,False,True,False,False,1209313.0,4257.0,-21.33,False,1.07,2.09,0.98,True,4,True,-0.39,4.32,True,False,,tv_wilder_rsi14_sma5_v1,77.0,63.67,True,True,13.33
6674,6674.T,ジーエス・ユアサコーポレーション,2025-10,CONTINUE,7,62.49,75.56,True,True,13.08,2025-04,2506.5,4318.0,4318.0,72.27,2335.48,2429.38,2610.97,True,True,False,False,False,False,False,445567.0,3407.0,-26.43,False,0.9,2.94,0.51,True,4,True,-6.88,6.89,False,False,,tv_wilder_rsi14_sma5_v1,75.56,62.49,True,True,13.08
5857,5857.T,ＡＲＥホールディングス,2025-10,CONTINUE,3,55.05,68.09,True,True,13.04,2025-08,2055.0,2452.0,2452.0,19.32,1952.72,1871.53,1831.81,True,True,True,True,True,True,True,405137.0,2053.0,0.1,True,0.55,1.24,0.99,True,2,True,13.6,5.25,False,False,,tv_wilder_rsi14_sma5_v1,68.09,55.05,True,True,13.04
7741,7741.T,ＨＯＹＡ,2025-10,CONTINUE,5,58.32,71.24,True,True,12.92,2025-06,17155.0,25085.0,25085.0,46.23,16967.2,16886.67,18734.85,True,True,False,False,False,False,False,1019213.0,21935.0,-21.79,False,1.33,2.13,1.11,False,4,False,-7.33,1.17,True,False,,tv_wilder_rsi14_sma5_v1,71.24,58.32,True,True,12.92
9984,9984.T,ソフトバンクグループ,2025-10,CONTINUE,5,74.5,87.03,True,True,12.52,2025-06,2628.75,6766.25,6766.25,157.39,2099.36,1924.6,2126.53,True,True,True,False,True,False,True,35256587.0,3045.0,-13.67,False,1.77,2.72,1.28,False,1,True,22.84,11.17,True,True,MVP,tv_wilder_rsi14_sma5_v1,87.03,74.5,True,True,12.52
6925,6925.T,ウシオ電機,2025-10,CONTINUE,4,56.4,68.9,True,True,12.5,2025-07,1857.0,2560.5,2560.5,37.88,1784.76,1739.65,1933.24,True,True,False,False,True,False,False,219860.0,2223.0,-16.46,False,0.98,1.73,1.11,False,4,True,-3.96,1.17,False,False,,tv_wilder_rsi14_sma5_v1,68.9,56.4,True,True,12.5
4099,4099.T,四国化成ホールディングス,2025-10,CONTINUE,6,66.11,78.39,True,True,12.28,2025-05,969.5,1375.0,1375.0,41.83,936.66,932.51,978.38,True,True,False,False,True,False,False,190520.0,1157.5,-16.24,False,0.6,2.11,0.85,True,4,True,-0.44,1.7,False,False,,tv_wilder_rsi14_sma5_v1,78.39,66.11,True,True,12.28
6302,6302.T,住友重機械工業,2025-10,CONTINUE,4,51.34,63.6,True,True,12.26,2025-07,3366.0,4131.0,4131.0,22.73,3121.34,3003.31,3125.74,True,True,True,False,True,True,False,587087.0,4349.0,-22.6,False,0.87,2.15,1.08,False,3,True,1.57,2.8,False,False,,tv_wilder_rsi14_sma5_v1,63.6,51.34,True,True,12.26
5711,5711.T,三菱マテリアル,2025-10,CONTINUE,4,53.52,65.72,True,True,12.2,2025-07,2322.5,2970.0,2970.0,27.88,2285.14,2248.95,2364.65,True,True,False,False,True,False,False,804617.0,2917.5,-20.39,False,0.95,1.7,0.98,True,4,True,-5.22,0.39,True,False,,tv_wilder_rsi14_sma5_v1,65.72,53.52,True,True,12.2
6857,6857.T,アドバンテスト,2025-10,CONTINUE,5,72.21,84.39,True,True,12.18,2025-06,10655.0,23135.0,23135.0,117.13,8725.68,7337.15,7991.06,True,True,True,False,True,True,True,21383747.0,10750.0,-0.88,False,0.9,3.72,1.01,False,2,True,59.55,19.37,False,False,,tv_wilder_rsi14_sma5_v1,84.39,72.21,True,True,12.18
5706,5706.T,三井金属,2025-10,CONTINUE,6,79.63,91.78,True,True,12.15,2025-05,4950.0,15760.0,15760.0,218.38,4300.36,4250.0,4515.4,True,True,True,False,True,False,False,490020.0,5564.0,-11.04,False,1.07,2.92,1.0,True,3,True,8.41,11.12,False,False,,tv_wilder_rsi14_sma5_v1,91.78,79.63,True,True,12.15
6976,6976.T,太陽誘電,2025-10,CONTINUE,6,50.19,62.12,True,True,11.92,2025-05,2428.0,4401.0,4401.0,81.26,2310.12,2376.41,2581.22,True,True,False,False,True,True,False,2254527.0,5164.0,-52.98,False,0.48,4.02,0.78,True,4,True,-10.44,4.17,False,False,,tv_wilder_rsi14_sma5_v1,62.12,50.19,True,True,11.92
5333,5333.T,ＮＧＫ,2025-10,CONTINUE,5,61.79,73.35,True,True,11.56,2025-06,1812.5,2606.0,2606.0,43.78,1774.46,1782.82,1874.26,True,True,False,False,False,False,False,882860.0,2155.0,-15.89,False,1.14,1.29,1.04,False,4,True,-5.35,1.06,True,False,,tv_wilder_rsi14_sma5_v1,73.35,61.79,True,True,11.56
8237,8237.T,松屋,2025-10,CONTINUE,4,60.55,72.11,True,True,11.56,2025-07,1127.0,1728.0,1728.0,53.33,1081.24,1036.39,993.46,True,True,True,True,True,True,True,295493.0,1232.0,-8.52,False,1.0,3.61,1.0,False,2,True,17.34,6.37,False,False,,tv_wilder_rsi14_sma5_v1,72.11,60.55,True,True,11.56
6941,6941.T,山一電機,2025-10,CONTINUE,6,65.42,76.92,True,True,11.49,2025-05,2376.0,4585.0,4585.0,92.97,2191.28,2108.39,2353.43,True,True,True,False,True,False,False,199197.0,3865.0,-38.53,False,0.59,3.2,0.85,True,3,True,-5.99,4.06,False,False,,tv_wilder_rsi14_sma5_v1,76.92,65.42,True,True,11.49
6762,6762.T,ＴＤＫ,2025-10,CONTINUE,5,64.22,75.7,True,True,11.48,2025-06,1695.5,2673.0,2673.0,57.65,1560.72,1519.17,1738.15,True,True,False,False,True,False,False,7570570.0,2241.0,-24.34,False,1.12,2.56,1.05,False,4,True,-2.94,2.13,False,False,,tv_wilder_rsi14_sma5_v1,75.7,64.22,True,True,11.48
6999,6999.T,ＫＯＡ,2025-10,CONTINUE,4,44.29,55.78,True,True,11.48,2025-07,1062.0,1375.0,1375.0,29.47,883.2,841.19,932.25,True,True,True,False,True,False,False,256160.0,1541.0,-31.08,False,2.96,3.23,1.43,False,3,True,5.48,9.91,False,False,,tv_wilder_rsi14_sma5_v1,55.78,44.29,True,True,11.48
6653,6653.T,正興電機製作所,2025-10,CONTINUE,7,68.33,79.8,True,True,11.47,2025-04,1263.0,2210.0,2210.0,74.98,1130.24,1157.23,1215.88,True,True,True,False,False,False,False,73033.0,1630.0,-22.52,False,2.61,2.58,0.72,True,3,True,-0.63,4.97,False,False,,tv_wilder_rsi14_sma5_v1,79.8,68.33,True,True,11.47
4187,4187.T,大阪有機化学工業,2025-10,CONTINUE,6,55.5,66.95,True,True,11.45,2025-05,2506.0,3835.0,3835.0,53.03,2444.12,2467.16,2759.6,True,True,False,False,True,False,False,50263.0,4255.0,-41.1,False,1.35,1.9,0.89,True,4,True,-12.9,1.73,False,False,,tv_wilder_rsi14_sma5_v1,66.95,55.5,True,True,11.45
5713,5713.T,住友金属鉱山,2025-10,CONTINUE,6,50.93,62.31,True,True,11.39,2025-05,3319.0,5077.0,5077.0,52.97,3223.84,3212.13,3639.99,True,True,False,False,True,False,False,2115907.0,5648.0,-41.24,False,0.93,2.99,1.05,False,4,True,-14.63,4.79,False,False,,tv_wilder_rsi14_sma5_v1,62.31,50.93,True,True,11.39
6622,6622.T,ダイヘン,2025-10,CONTINUE,5,59.46,70.67,True,True,11.21,2025-06,6390.0,10130.0,10130.0,58.53,6217.2,6231.87,6738.05,True,True,False,False,False,False,False,89007.0,8690.0,-26.47,False,0.82,2.44,0.92,True,1,True,-8.6,0.89,False,False,,tv_wilder_rsi14_sma5_v1,70.67,59.46,True,True,11.21
6330,6330.T,東洋エンジニアリング,2025-10,CONTINUE,5,75.58,86.76,True,True,11.18,2025-06,779.0,2595.0,2595.0,233.12,699.36,679.19,703.67,True,True,True,False,True,False,True,197433.0,899.0,-13.35,False,1.56,2.54,1.02,False,1,True,5.61,6.11,True,False,,tv_wilder_rsi14_sma5_v1,86.76,75.58,True,True,11.18
8065,8065.T,佐藤商事,2025-10,CONTINUE,6,66.16,77.31,True,True,11.15,2025-05,1512.0,2154.0,2154.0,42.46,1474.68,1471.56,1434.56,True,True,True,True,True,True,False,22733.0,1738.0,-13.0,False,0.59,1.68,0.61,True,3,True,2.32,1.66,False,False,,tv_wilder_rsi14_sma5_v1,77.31,66.16,True,True,11.15
