code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date
1375,1375.T,ユキグニファクトリー,2025-04,OUT,5,64.73,75.0,False,True,10.27,2024-12,1081.0,1160.0,1160.0,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,1090.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,1433.T,ベステラ,2025-04,OUT,5,51.03,63.95,True,True,12.93,2024-12,1076.0,1110.0,1110.0,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,1130.0,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,1786.T,オリエンタル白石,2025-04,OUT,1,43.71,45.28,False,True,1.57,2025-04,376.0,376.0,376.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,367.0,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,1878.T,大東建託,2025-04,OUT,1,37.78,38.17,False,True,0.39,2025-04,3172.0,3172.0,3172.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,3248.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1899.T,福田組,2025-04,OUT,1,49.85,55.81,True,True,5.96,2025-04,2660.0,2660.0,2660.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,2505.0,-5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,1925.T,大和ハウス工業,2025-04,OUT,7,74.08,100.0,True,False,25.92,2024-10,4571.0,5155.0,5155.0,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,4871.0,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,1964.T,中外炉工業,2025-04,OUT,4,65.55,81.11,False,False,15.56,2025-01,3355.0,3780.0,3780.0,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,3510.0,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,1976.T,明星工業,2025-04,OUT,1,57.1,58.36,True,True,1.26,2025-04,1400.0,1400.0,1400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,1473.0,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1979.T,大氣社,2025-04,OUT,1,49.01,49.92,False,True,0.91,2025-04,2344.0,2344.0,2344.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,2441.0,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2109.T,ＤＭ三井製糖,2025-04,OUT,2,56.29,73.33,True,True,17.04,2025-03,3375.0,3420.0,3420.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,3130.0,-7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
