code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type
9790,9790.T,福井コンピュータホールディングス,2022-06,CONTINUE,2,33.61,100.0,False,True,66.39,2022-05,3290.0,3415.0,3415.0,3.8,3256.0,3188.0,3592.32,True,True,False,False,True,True,,40710.0,,,,1.85,3.04,0.98,True,4,True,,,,False,
3031,3031.T,ラクーンホールディングス,2022-06,CONTINUE,3,22.35,87.76,False,True,65.4,2022-04,1413.0,1669.0,1669.0,18.12,1264.2,1201.23,,True,True,,,True,False,,251850.0,,,,1.57,4.16,1.26,False,1,True,,,,False,
8282,8282.T,ケーズホールディングス,2022-06,CONTINUE,5,36.66,99.0,True,True,62.34,2022-02,1240.0,1322.0,1322.0,6.61,1199.08,1156.47,,True,True,,,True,True,,1160713.0,,,,0.96,1.97,0.9,True,1,True,,,,False,
3673,3673.T,ブロードリーフ,2022-06,CONTINUE,2,37.93,98.96,True,True,61.03,2022-05,195.0,221.5,221.5,13.59,183.36,179.5,222.87,True,True,False,False,False,True,,1345247.0,,,,2.26,3.66,1.04,False,4,True,,,,False,
7513,7513.T,コジマ,2022-06,CONTINUE,3,29.47,90.06,False,True,60.59,2022-04,637.0,654.0,654.0,2.67,599.48,558.63,,True,True,,,True,True,,197790.0,,,,0.84,2.7,0.87,True,1,True,,,,False,
6615,6615.T,ユー・エム・シー・エレクトロニクス,2022-06,CONTINUE,3,21.86,79.61,True,True,57.76,2022-04,402.0,442.0,442.0,9.95,405.24,396.53,,False,True,,,True,False,,54127.0,,,,0.67,3.32,0.95,True,1,True,,,,False,
3741,3741.T,セック,2022-06,CONTINUE,7,43.36,98.27,True,True,54.9,2021-12,1211.0,1274.5,1274.5,5.24,1157.38,1186.33,,True,True,,,False,False,,53160.0,,,,0.69,4.25,1.12,False,1,True,,,,False,
4480,4480.T,メドレー,2022-06,CONTINUE,4,32.59,84.25,False,True,51.66,2022-03,2584.0,2675.0,2675.0,3.52,2150.08,2165.67,,True,True,,,True,False,,659810.0,,,,0.77,6.2,1.02,False,1,True,,,,False,
3939,3939.T,カナミックネットワーク,2022-06,CONTINUE,3,36.49,87.86,True,True,51.36,2022-04,506.0,557.0,557.0,10.08,520.24,479.31,,False,True,,,True,True,,72353.0,,,,1.36,2.63,0.97,True,1,False,,,,False,
6381,6381.T,アネスト岩田,2022-06,CONTINUE,4,44.02,95.36,True,True,51.34,2022-03,830.0,906.0,906.0,9.16,821.6,828.35,,True,True,,,True,False,,105267.0,,,,0.77,1.91,1.0,False,1,True,,,,False,
4344,4344.T,ソースネクスト,2022-06,CONTINUE,3,37.46,87.88,True,True,50.42,2022-04,183.0,231.0,231.0,26.23,176.12,164.47,,True,True,,,True,False,,1490060.0,,,,0.78,5.58,1.11,False,1,True,,,,False,
2462,2462.T,ライク,2022-06,CONTINUE,6,49.97,100.0,False,False,50.03,2022-01,1810.0,2308.0,2308.0,27.51,1767.6,1757.85,,True,True,,,True,False,,78093.0,,,,1.46,4.29,1.12,False,1,True,,,,False,
6701,6701.T,日本電気,2022-06,CONTINUE,3,40.25,90.2,True,True,49.95,2022-04,1010.0,1054.0,1054.0,4.36,1027.6,1013.88,,False,False,,,True,False,,4307100.0,,,,1.21,2.39,1.0,False,1,False,,,,False,
7532,7532.T,ﾊﾟﾝ･ﾊﾟｼﾌｨｯｸ･ｲﾝﾀｰﾅｼｮﾅﾙﾎｰﾙﾃﾞｨﾝｸﾞｽ,2022-06,CONTINUE,3,45.99,95.87,True,True,49.88,2022-04,402.2,433.0,433.0,7.66,389.12,359.62,,True,True,,,True,True,,10101017.0,,,,1.12,2.86,1.06,False,1,True,,,,False,
3962,3962.T,チェンジホールディングス,2022-06,CONTINUE,5,31.34,80.84,True,True,49.5,2022-02,1760.0,2145.0,2145.0,21.88,1525.92,1806.24,,True,False,,,False,False,,902563.0,,,,1.27,6.2,1.15,False,1,True,,,,False,
6222,6222.T,島精機製作所,2022-06,CONTINUE,3,47.17,95.96,True,True,48.79,2022-04,1854.0,2089.0,2089.0,12.68,1867.56,1829.6,,False,True,,,True,False,,65993.0,,,,1.1,2.98,1.16,False,1,False,,,,False,
8142,8142.T,トーホー,2022-06,CONTINUE,2,38.88,87.38,True,True,48.5,2022-05,385.67,462.67,462.67,19.97,375.99,365.21,439.09,True,True,False,False,True,True,,63230.0,,,,1.18,2.67,0.89,True,4,True,,,,False,
7172,7172.T,ジャパンインベストメントアドバイザー,2022-06,CONTINUE,3,37.41,85.71,True,True,48.3,2022-04,736.18,797.58,797.58,8.34,747.64,714.08,,False,True,,,True,False,,92254.0,,,,0.82,2.11,0.95,True,1,True,,,,False,
2982,2982.T,ＡＤワークスグループ,2022-06,CONTINUE,2,40.35,88.24,True,True,47.88,2022-05,150.0,151.0,151.0,0.67,148.44,145.49,151.47,True,True,False,False,True,True,,135163.0,,,,1.53,1.48,1.02,False,4,True,,,,False,
3656,3656.T,ＫＬａｂ,2022-06,CONTINUE,4,36.6,83.95,True,True,47.35,2022-03,446.0,599.0,599.0,34.3,407.36,446.49,,True,False,,,False,False,,528987.0,,,,1.57,3.84,1.07,False,1,True,,,,False,
4933,4933.T,Ｉ－ｎｅ,2022-06,CONTINUE,2,52.1,98.96,True,True,46.86,2022-05,1852.5,2082.5,2082.5,12.42,1754.6,1539.78,1864.99,True,True,False,False,True,True,,63287.0,,,,0.81,7.14,0.68,True,4,True,,,,False,
2931,2931.T,ユーグレナ,2022-06,CONTINUE,4,51.96,98.64,True,True,46.68,2022-03,822.0,938.0,938.0,14.11,768.76,737.12,,True,True,,,True,False,,1336990.0,,,,1.23,3.22,1.01,False,1,True,,,,False,
6535,6535.T,アイモバイル,2022-06,CONTINUE,3,53.32,100.0,True,True,46.68,2022-04,439.67,477.33,477.33,8.57,417.51,404.73,,True,True,,,True,False,,318510.0,,,,2.11,2.82,1.17,False,1,True,,,,False,
4813,4813.T,ＡＣＣＥＳＳ,2022-06,NEW,1,43.39,90.05,True,True,46.65,2022-06,743.0,743.0,743.0,0.0,680.56,602.12,712.61,True,True,True,False,True,True,False,159627.0,,,,0.78,3.58,1.03,False,3,True,,,,False,
4668,4668.T,明光ネットワークジャパン,2022-06,CONTINUE,4,53.64,100.0,True,True,46.36,2022-03,580.0,616.0,616.0,6.21,564.8,564.83,,True,True,,,False,True,,54383.0,,,,0.96,1.51,0.95,True,1,True,,,,False,
3048,3048.T,ビックカメラ,2022-06,CONTINUE,4,54.23,100.0,True,False,45.77,2022-03,1082.0,1172.0,1172.0,8.32,1042.04,1004.33,,True,True,,,True,True,,834303.0,,,,0.63,1.7,1.04,False,1,True,,,,False,
6284,6284.T,日精エー  ･エス  ･ビー機械,2022-06,CONTINUE,5,31.33,77.09,True,True,45.75,2022-02,2992.0,3540.0,3540.0,18.32,3008.16,3101.13,,False,False,,,False,False,,45827.0,,,,1.21,3.73,1.03,False,1,False,,,,False,
9984,9984.T,ソフトバンクグループ,2022-06,CONTINUE,3,14.58,60.26,False,True,45.68,2022-04,1317.25,1308.75,1308.75,-0.65,1384.14,1314.89,,False,True,,,True,True,,69316213.0,,,,1.1,3.65,1.04,False,1,False,,,,False,
9831,9831.T,ヤマダホールディングス,2022-06,CONTINUE,3,40.73,86.33,True,True,45.6,2022-04,387.0,488.0,488.0,26.1,382.88,390.25,,True,False,,,False,False,,6855933.0,,,,0.83,1.13,1.01,False,1,True,,,,False,
