code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1407,1407.T,ウエストホールディングス,2022-12,OUT,3,53.6,53.65,True,False,0.05,2022-10,4455.0,4390.0,4390.0,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,3870.0,-13.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.65,53.6,False,True,0.05
1793,1793.T,大本組,2022-12,OUT,1,58.05,62.63,True,True,4.58,2022-12,1216.67,1216.67,1216.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1080.0,-11.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.63,58.05,True,True,4.58
1997,1997.T,暁飯島工業,2022-12,OUT,3,44.58,49.48,True,True,4.9,2022-10,1361.0,1436.0,1436.0,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1327.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.48,44.58,True,True,4.9
2117,2117.T,ウェルネオシュガー,2022-12,OUT,1,47.7,56.95,True,True,9.25,2022-12,1863.0,1863.0,1863.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1664.0,-10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.95,47.7,True,True,9.25
2138,2138.T,クルーズ,2022-12,OUT,4,46.88,47.5,True,False,0.61,2022-09,1188.0,1049.0,1049.0,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1065.0,-10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,47.5,46.88,False,True,0.61
2198,2198.T,アイ・ケイ・ケイホールディングス,2022-12,OUT,4,50.71,58.33,True,True,7.62,2022-09,619.0,688.0,688.0,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,643.0,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.33,50.71,True,True,7.62
2229,2229.T,カルビー,2022-12,OUT,1,53.12,53.88,True,True,0.76,2022-12,2992.0,2992.0,2992.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,2935.0,-1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.88,53.12,True,True,0.76
2268,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,2022-12,OUT,2,57.4,59.74,True,False,2.34,2022-11,4090.0,4090.0,4090.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,4075.0,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.74,57.4,False,True,2.34
2353,2353.T,日本駐車場開発,2022-12,OUT,4,70.24,79.85,True,True,9.62,2022-09,201.0,310.0,310.0,54.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,258.0,28.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,79.85,70.24,True,True,9.62
2579,2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,2022-12,OUT,2,41.8,43.15,False,False,1.35,2022-11,1460.0,1437.0,1437.0,-1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1364.0,-6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.15,41.8,False,False,1.35
2590,2590.T,ダイドーグループホールディングス,2022-12,OUT,2,46.3,47.21,False,False,0.91,2022-11,2425.0,2380.0,2380.0,-1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,2360.0,-2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,47.21,46.3,False,False,0.91
2602,2602.T,日清オイリオグループ,2022-12,OUT,2,55.4,56.01,True,False,0.61,2022-11,1111.67,1095.0,1095.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1063.33,-4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.01,55.4,False,True,0.61
2670,2670.T,エービーシー・マート,2022-12,OUT,4,58.14,65.68,True,True,7.54,2022-09,2076.67,2490.0,2490.0,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,2330.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.68,58.14,True,True,7.54
2681,2681.T,ゲオホールディングス,2022-12,OUT,6,67.76,73.53,True,True,5.77,2022-07,1404.0,2180.0,2180.0,55.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1895.0,34.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.53,67.76,True,True,5.77
2767,2767.T,円谷フィールズホールディングス,2022-12,OUT,5,82.3,88.36,True,True,6.07,2022-08,678.0,1363.5,1363.5,101.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1286.0,89.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,88.36,82.3,True,True,6.07
2809,2809.T,キユーピー,2022-12,OUT,7,50.22,50.76,True,False,0.55,2022-06,2294.0,2390.0,2390.0,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,2262.0,-1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,50.76,50.22,False,True,0.55
2872,2872.T,セイヒョー,2022-12,OUT,1,70.16,73.87,False,True,3.71,2022-12,3756.67,3756.67,3756.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,3433.33,-8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.87,70.16,True,False,3.71
2877,2877.T,日東ベスト,2022-12,OUT,4,43.45,49.26,True,True,5.81,2022-09,754.0,786.0,786.0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,762.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.26,43.45,True,True,5.81
2897,2897.T,日清食品ホールディングス,2022-12,OUT,2,60.81,62.08,True,False,1.27,2022-11,3493.33,3473.33,3473.33,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,3386.67,-3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.08,60.81,False,True,1.27
2908,2908.T,フジッコ,2022-12,OUT,1,46.84,47.18,False,True,0.34,2022-12,1915.0,1915.0,1915.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,1890.0,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,47.18,46.84,True,False,0.34
2911,2911.T,旭松食品,2022-12,OUT,2,55.51,60.81,True,True,5.3,2022-11,2223.0,2266.0,2266.0,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,2227.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.81,55.51,True,True,5.3
