code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
4046,4046.T,大阪ソーダ,2024-12,OUT,1,57.08,60.17,False,True,3.09,2024-12,1996.0,1996.0,1996.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1674.0,-16.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.17,57.08,True,False,3.09
4071,4071.T,プラスアルファ・コンサルティング,2024-12,OUT,1,41.48,42.4,True,True,0.91,2024-12,1909.0,1909.0,1909.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1801.0,-5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.4,41.48,True,True,0.91
4095,4095.T,日本パーカライジング,2024-12,OUT,1,60.85,62.26,True,True,1.41,2024-12,1304.0,1304.0,1304.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1270.0,-2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.26,60.85,True,True,1.41
4099,4099.T,四国化成ホールディングス,2024-12,OUT,1,63.88,63.95,False,True,0.07,2024-12,1039.5,1039.5,1039.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,960.5,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.95,63.88,True,False,0.07
4182,4182.T,三菱瓦斯化学,2024-12,OUT,2,61.19,62.43,False,True,1.24,2024-11,2817.5,2829.5,2829.5,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2724.5,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.43,61.19,True,False,1.24
4220,4220.T,リケンテクノス,2024-12,OUT,2,76.4,77.86,True,True,1.46,2024-11,1065.0,1077.0,1077.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1025.0,-3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,77.86,76.4,True,True,1.46
4323,4323.T,日本システム技術,2024-12,OUT,2,74.43,78.37,True,True,3.94,2024-11,1953.0,2249.0,2249.0,15.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1853.0,-5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,78.37,74.43,True,True,3.94
4345,4345.T,シーティーエス,2024-12,OUT,12,61.1,62.59,True,False,1.49,2024-01,698.0,903.0,903.0,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,839.0,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.59,61.1,False,True,1.49
4432,4432.T,ウイングアーク１ｓｔ,2024-12,OUT,5,62.27,68.52,True,True,6.25,2024-08,2938.0,3760.0,3760.0,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3440.0,17.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,68.52,62.27,True,True,6.25
4461,4461.T,第一工業製薬,2024-12,OUT,2,60.14,63.8,True,False,3.66,2024-11,3830.0,3830.0,3830.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2945.0,-23.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.8,60.14,False,True,3.66
4471,4471.T,三洋化成工業,2024-12,OUT,1,43.74,46.08,True,True,2.34,2024-12,4120.0,4120.0,4120.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3920.0,-4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.08,43.74,True,True,2.34
4516,4516.T,日本新薬,2024-12,OUT,6,36.49,38.34,True,False,1.86,2024-07,3449.0,3989.0,3989.0,15.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3765.0,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,38.34,36.49,False,True,1.86
4521,4521.T,科研製薬,2024-12,OUT,2,58.58,65.53,True,True,6.95,2024-11,4323.0,4513.0,4513.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,4220.0,-2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.53,58.58,True,True,6.95
4534,4534.T,持田製薬,2024-12,OUT,1,51.01,54.09,False,True,3.07,2024-12,3520.0,3520.0,3520.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3375.0,-4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.09,51.01,True,False,3.07
4538,4538.T,扶桑薬品工業,2024-12,OUT,3,59.28,61.85,True,False,2.57,2024-10,2548.0,2542.0,2542.0,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2435.0,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.85,59.28,False,True,2.57
4543,4543.T,テルモ,2024-12,OUT,4,64.84,68.62,True,True,3.78,2024-09,2700.0,3062.0,3062.0,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2930.5,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,68.62,64.84,True,True,3.78
