code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type
4912,4912.T,ライオン,2023-11,CONTINUE,4,34.34,45.46,False,False,11.12,2023-08,1585.5,1294.0,1294.0,-18.39,1478.92,1406.65,1436.09,True,True,True,False,True,True,False,1681713.0,1657.0,-4.32,False,0.91,1.56,0.79,True,1,True,9.26,4.34,False,False,
4092,4092.T,日本化学工業,2023-11,CONTINUE,3,56.95,68.05,True,True,11.1,2023-09,1955.0,2029.0,2029.0,3.79,1944.52,1904.76,1879.28,True,True,True,True,True,True,True,32180.0,2088.0,-6.37,False,1.26,1.66,1.11,False,2,True,3.81,2.29,False,False,
8613,8613.T,丸三証券,2023-11,CONTINUE,10,83.12,94.16,True,False,11.03,2023-02,436.0,849.0,849.0,94.72,428.44,414.91,447.92,True,True,False,False,True,True,False,94630.0,553.0,-21.16,False,1.11,1.38,1.17,False,4,True,-6.8,0.76,False,False,
8601,8601.T,大和証券グループ本社,2023-11,CONTINUE,11,88.98,100.0,True,False,11.02,2023-01,612.0,955.4,955.4,56.11,596.52,591.47,606.15,True,True,True,False,True,True,False,4772970.0,745.0,-17.85,False,0.75,1.3,1.04,False,3,True,-1.44,1.17,True,False,
6750,6750.T,エレコム,2023-11,CONTINUE,7,59.13,70.14,True,False,11.01,2023-05,1462.0,1624.0,1624.0,11.08,1346.24,1301.2,1407.43,True,True,True,False,True,True,False,200830.0,1788.0,-18.23,False,1.47,2.35,1.09,False,3,True,-1.08,3.46,False,False,
3050,3050.T,ＤＣＭホールディングス,2023-11,NEW,1,56.47,67.46,False,True,10.98,2023-11,1279.0,1279.0,1279.0,0.0,1196.72,1220.57,1225.85,True,True,True,False,False,True,True,466020.0,1477.0,-13.41,False,1.09,1.88,1.2,False,2,True,4.63,3.71,True,False,
9031,9031.T,西日本鉄道,2023-11,CONTINUE,6,32.93,43.91,False,False,10.98,2023-06,2444.5,2367.5,2367.5,-3.15,2423.18,2434.14,2558.84,True,True,False,False,False,True,False,133410.0,2993.0,-18.33,False,0.86,1.37,1.11,False,4,True,-5.87,1.63,False,False,
7322,7322.T,三十三フィナンシャルグループ,2023-11,CONTINUE,4,70.03,80.94,False,False,10.92,2023-08,436.5,467.0,467.0,6.99,423.52,403.71,399.33,True,True,True,True,True,True,True,161320.0,452.75,-3.59,False,0.82,1.57,0.93,True,2,True,13.05,1.04,False,False,
6363,6363.T,酉島製作所,2023-11,CONTINUE,7,83.53,94.38,True,False,10.85,2023-05,1544.0,2197.0,2197.0,42.29,1615.64,1564.99,1465.59,False,False,True,True,True,True,True,59190.0,1696.0,-8.96,False,1.3,2.66,0.89,True,2,False,9.02,-2.97,False,False,
7846,7846.T,パイロットコーポレーション,2023-11,CONTINUE,6,35.71,46.53,False,False,10.81,2023-06,1518.33,1489.67,1489.67,-1.89,1512.83,1478.34,1587.96,True,True,False,False,False,True,False,247680.0,2020.0,-24.83,False,1.0,1.74,1.07,False,4,True,-2.35,1.48,False,False,
