code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type
2933,2933.T,紀文食品,2023-04,CONTINUE,3,37.37,100.0,False,False,62.63,2023-02,963.0,1052.0,1052.0,9.24,955.32,945.47,957.67,True,True,True,False,True,True,False,33403.0,1231.0,-21.77,False,1.1,1.22,1.08,False,3,True,-3.74,-1.34,False,False,
9902,9902.T,日伝,2023-04,CONTINUE,3,37.96,100.0,True,True,62.04,2023-02,1891.0,2010.0,2010.0,6.29,1861.08,1758.55,1830.39,True,True,True,False,True,True,False,24210.0,2327.0,-18.74,False,1.15,1.54,0.97,True,3,True,-1.53,1.9,False,False,
4229,4229.T,群栄化学工業,2023-04,CONTINUE,4,25.49,82.22,True,True,56.73,2023-01,2473.0,2645.0,2645.0,6.96,2395.6,2394.05,2510.48,True,True,False,False,True,False,False,6417.0,3695.0,-33.07,False,1.48,1.06,1.09,False,4,True,-7.4,2.43,False,False,
1938,1938.T,日本リーテック,2023-04,CONTINUE,5,45.07,98.74,True,True,53.67,2022-12,844.0,1275.0,1275.0,51.07,772.16,771.88,949.9,True,True,False,False,True,False,False,31137.0,1633.0,-48.32,False,1.41,2.78,1.29,False,4,True,-17.49,5.11,False,False,
4839,4839.T,ＷＯＷＯＷ,2023-04,CONTINUE,4,16.06,68.39,False,True,52.33,2023-01,1247.0,1309.0,1309.0,4.97,1249.12,1248.24,1372.86,False,False,False,False,True,False,False,45770.0,1802.0,-30.8,False,1.11,1.24,0.98,True,4,True,-13.47,1.8,False,False,
9404,9404.T,日本テレビホールディングス,2023-04,CONTINUE,2,40.62,91.33,False,True,50.7,2023-03,1141.0,1221.0,1221.0,7.01,1133.16,1071.28,1134.51,True,True,True,False,True,True,False,1270020.0,1337.0,-14.66,False,1.06,3.11,1.06,False,3,True,0.2,0.03,False,False,
9332,9332.T,ＮＩＳＳＯホールディングス,2023-04,CONTINUE,4,41.09,90.41,False,True,49.32,2023-01,590.0,775.0,775.0,31.36,570.88,577.37,588.83,True,True,True,False,False,True,False,110013.0,898.0,-34.3,False,0.61,1.88,0.97,True,3,True,-6.08,2.78,False,False,
3983,3983.T,オロ,2023-04,CONTINUE,9,50.99,100.0,True,False,49.01,2022-08,1776.0,2434.0,2434.0,37.05,1571.12,1664.57,2257.32,True,True,False,False,False,False,False,62550.0,4115.0,-56.84,False,1.26,3.63,1.19,False,4,True,-26.78,2.57,True,False,
7952,7952.T,河合楽器製作所,2023-04,CONTINUE,3,49.77,97.92,False,True,48.15,2023-02,2700.0,3085.0,3085.0,14.26,2617.48,2584.07,2671.15,True,True,True,False,True,False,False,8387.0,3325.0,-18.8,False,1.38,1.14,1.08,False,3,True,-3.72,2.43,False,False,
4307,4307.T,野村総合研究所,2023-04,NEW,1,38.96,86.93,True,True,47.98,2023-04,3420.0,3420.0,3420.0,0.0,3178.4,3106.53,3386.05,True,True,True,False,True,True,False,1876070.0,4230.0,-19.15,False,1.39,1.65,0.94,True,3,True,-5.42,0.81,True,False,
9956,9956.T,バローホールディングス,2023-04,CONTINUE,7,42.82,90.79,True,True,47.98,2022-10,1720.0,2077.0,2077.0,20.76,1753.36,1809.32,1957.08,False,False,False,False,False,False,False,163463.0,2488.0,-30.87,False,1.35,1.65,0.89,True,4,False,-16.89,-1.04,False,False,
6588,6588.T,東芝テック,2023-04,CONTINUE,3,31.36,78.31,False,True,46.95,2023-02,3800.0,3930.0,3930.0,3.42,3763.2,3671.4,3969.62,True,True,False,False,True,False,False,44743.0,5100.0,-25.49,False,0.62,1.95,0.88,True,4,True,-7.26,1.92,False,False,
7723,7723.T,愛知時計電機,2023-04,CONTINUE,3,36.11,82.94,True,False,46.83,2023-02,1505.0,1535.0,1535.0,1.99,1418.92,1373.41,1403.4,True,True,True,False,True,True,False,10890.0,1993.0,-24.49,False,1.56,1.78,1.05,False,3,True,-0.72,1.62,False,False,
4676,4676.T,フジ・メディア・ホールディングス,2023-04,CONTINUE,3,52.27,98.51,False,True,46.23,2023-02,1143.0,1272.0,1272.0,11.29,1095.08,1070.15,1095.67,True,True,True,False,True,True,False,595033.0,1310.0,-12.75,False,2.31,2.89,1.44,False,1,True,1.37,3.55,False,False,
9850,9850.T,グルメ杵屋,2023-04,CONTINUE,3,48.43,93.24,False,True,44.81,2023-02,1017.0,1061.0,1061.0,4.33,1008.68,1001.52,1013.85,True,True,True,False,True,True,False,20443.0,1090.0,-6.7,False,2.03,0.63,0.92,True,1,True,-0.58,-0.61,False,False,
5331,5331.T,ノリタケ,2023-04,CONTINUE,4,52.23,96.97,True,True,44.74,2023-01,1050.0,1165.0,1165.0,10.95,1003.45,1004.72,1024.0,True,True,True,False,True,False,False,96707.0,1181.25,-11.11,False,0.96,1.22,1.05,False,3,True,-0.22,1.79,False,False,
9304,9304.T,澁澤倉庫,2023-04,CONTINUE,3,55.37,100.0,False,False,44.63,2023-02,550.5,577.75,577.75,4.95,533.72,521.32,529.19,True,True,True,False,True,True,False,51533.0,608.0,-9.46,False,1.28,1.63,1.24,False,3,True,1.63,1.73,False,False,
9405,9405.T,朝日放送グループホールディングス,2023-04,CONTINUE,4,34.11,78.41,False,True,44.3,2023-01,645.0,672.0,672.0,4.19,636.6,626.48,649.14,True,True,False,False,True,True,False,38237.0,768.0,-16.02,False,0.87,0.62,0.78,True,4,True,-2.39,1.01,False,False,
1951,1951.T,エクシオグループ,2023-04,CONTINUE,11,55.81,100.0,True,True,44.19,2022-06,1061.5,1259.5,1259.5,18.65,,,,,,,,,,,,,,,,,,,,,,,,False,
