code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1375,1375.T,ユキグニファクトリー,2023-06,OUT,1,31.95,32.38,False,True,0.43,2023-06,975.0,975.0,975.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,925.0,-5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,32.38,31.95,True,False,0.43
1381,1381.T,アクシーズ,2023-06,OUT,4,47.75,49.25,True,False,1.49,2023-03,2959.0,3035.0,3035.0,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,3025.0,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.25,47.75,False,True,1.49
1711,1711.T,ＳＤＳホールディングス,2023-06,OUT,1,41.25,41.51,False,True,0.26,2023-06,297.0,297.0,297.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,271.0,-8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,41.51,41.25,True,False,0.26
1909,1909.T,日本ドライケミカル,2023-06,OUT,1,54.28,54.63,True,True,0.36,2023-06,448.75,448.75,448.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,432.0,-3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.63,54.28,True,True,0.36
2127,2127.T,日本Ｍ＆Ａセンターホールディングス,2023-06,OUT,1,33.0,35.5,False,True,2.51,2023-06,1098.5,1098.5,1098.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,813.0,-25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,35.5,33.0,True,False,2.51
2138,2138.T,クルーズ,2023-06,OUT,1,44.53,45.42,False,True,0.89,2023-06,913.0,913.0,913.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,846.0,-7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,45.42,44.53,True,False,0.89
2186,2186.T,ソーバル,2023-06,OUT,6,51.87,54.41,True,True,2.54,2023-01,1018.0,1097.0,1097.0,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,1067.0,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.41,51.87,True,True,2.54
2216,2216.T,カンロ,2023-06,OUT,15,88.42,94.63,True,True,6.2,2022-04,280.67,681.67,681.67,142.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,613.33,118.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,94.63,88.42,True,True,6.2
2217,2217.T,モロゾフ,2023-06,OUT,3,61.5,65.25,True,True,3.75,2023-04,1210.0,1243.33,1243.33,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,1216.67,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.25,61.5,True,True,3.75
2268,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,2023-06,OUT,3,57.72,62.17,True,True,4.45,2023-04,4085.0,4120.0,4120.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,4095.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.17,57.72,True,True,4.45
2305,2305.T,スタジオアリス,2023-06,OUT,4,49.98,53.98,True,True,4.0,2023-03,2143.0,2220.0,2220.0,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,2160.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.98,49.98,True,True,4.0
2317,2317.T,システナ,2023-06,OUT,1,36.59,37.05,False,False,0.47,2023-06,292.0,292.0,292.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,272.0,-6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,37.05,36.59,False,False,0.47
