code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date
3107,3107.T,ダイワボウホールディングス,2023-02,OUT,1,58.27,67.19,True,True,8.92,2023-02,2104.0,2104.0,2104.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2183.0,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3156,3156.T,レスター,2023-02,OUT,1,61.67,77.36,False,True,15.68,2023-02,2320.0,2320.0,2320.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2164.0,-6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,3167.T,ＴＯＫＡＩホールディングス,2023-02,OUT,1,51.94,54.69,False,True,2.75,2023-02,877.0,877.0,877.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,873.0,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3196,3196.T,ホットランドホールディングス,2023-02,OUT,5,60.37,61.11,True,False,0.74,2022-10,1403.0,1424.0,1424.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1473.0,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3221,3221.T,ヨシックスホールディングス,2023-02,OUT,1,58.31,68.09,False,True,9.78,2023-02,2125.0,2125.0,2125.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2098.0,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284,3284.T,フージャースホールディングス,2023-02,OUT,1,69.12,69.89,True,True,0.76,2023-02,845.0,845.0,845.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,826.0,-2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3288,3288.T,オープンハウスグループ,2023-02,OUT,4,38.78,50.13,True,True,11.35,2022-11,5780.0,4900.0,4900.0,-15.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,4950.0,-14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,3393.T,スターティアホールディングス,2023-02,OUT,9,56.54,69.01,True,True,12.47,2022-06,744.0,1356.0,1356.0,82.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1561.0,109.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,3445.T,ＲＳ   Ｔｅｃｈｎｏｌｏｇｉｅｓ,2023-02,OUT,9,50.34,55.51,False,False,5.17,2022-06,3160.0,3435.0,3435.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,3245.0,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3486,3486.T,グローバル・リンク・マネジメント,2023-02,OUT,10,72.44,79.5,True,True,7.06,2022-05,456.5,640.0,640.0,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,633.5,38.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,3496.T,アズーム,2023-02,OUT,10,64.04,64.69,False,False,0.65,2022-05,1880.0,2482.5,2482.5,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,3015.0,60.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498,3498.T,霞ヶ関キャピタル,2023-02,OUT,8,63.43,66.67,True,False,3.24,2022-07,1275.5,2137.5,2137.5,67.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1940.0,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3569,3569.T,セーレン,2023-02,OUT,6,46.31,68.65,False,True,22.34,2022-09,2104.0,2393.0,2393.0,13.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2332.0,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,3580.T,小松マテーレ,2023-02,OUT,1,25.98,27.4,False,True,1.42,2023-02,710.0,710.0,710.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,691.0,-2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3636,3636.T,三菱総合研究所,2023-02,OUT,11,68.94,76.56,False,False,7.62,2022-04,3920.0,5180.0,5180.0,32.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,5100.0,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3662,3662.T,エイチームホールディングス,2023-02,OUT,10,42.12,45.63,True,False,3.5,2022-05,731.0,771.0,771.0,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,668.0,-8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3665,3665.T,エニグモ,2023-02,OUT,10,40.9,85.89,True,True,44.99,2022-05,552.0,615.0,615.0,11.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,499.0,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3678,3678.T,メディアドゥ,2023-02,OUT,8,22.26,32.87,True,True,10.61,2022-07,2191.0,1493.0,1493.0,-31.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1412.0,-35.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3697,3697.T,ＳＨＩＦＴ,2023-02,OUT,5,48.42,60.41,True,False,11.99,2022-10,1554.0,1503.33,1503.33,-3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1564.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3771,3771.T,システムリサーチ,2023-02,OUT,2,60.34,100.0,False,True,39.66,2023-01,1100.0,1134.5,1134.5,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1048.0,-4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3834,3834.T,朝日ネット,2023-02,OUT,1,47.64,53.57,False,True,5.94,2023-02,592.0,592.0,592.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,590.0,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3844,3844.T,コムチュア,2023-02,OUT,2,30.57,46.65,False,False,16.08,2023-01,2485.0,2227.0,2227.0,-10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2073.0,-16.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3853,3853.T,アステリア,2023-02,OUT,1,30.93,35.44,False,False,4.51,2023-02,734.0,734.0,734.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,786.0,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3854,3854.T,アイル,2023-02,OUT,10,69.78,76.7,True,True,6.92,2022-05,1424.0,2236.0,2236.0,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2394.0,68.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3901,3901.T,マークラインズ,2023-02,OUT,5,47.1,66.59,False,False,19.49,2022-10,2565.0,2615.0,2615.0,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2536.0,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3916,3916.T,ﾃﾞｼﾞﾀﾙ･ｲﾝﾌｫﾒｰｼｮﾝ･ﾃｸﾉﾛｼﾞｰ,2023-02,OUT,10,58.27,59.86,False,False,1.59,2022-05,723.0,824.0,824.0,13.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,856.0,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3921,3921.T,ネオジャパン,2023-02,OUT,1,30.32,50.43,False,True,20.1,2023-02,957.0,957.0,957.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,887.0,-7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,3968.T,セグエグループ,2023-02,OUT,12,49.73,61.94,False,False,12.21,2022-03,209.0,257.67,257.67,23.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,259.33,24.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3993,3993.T,ＰＫＳＨＡＴｅｃｈｎｏｌｏｇｙ,2023-02,OUT,1,42.68,61.88,True,True,19.2,2023-02,2064.0,2064.0,2064.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1806.0,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,4025.T,多木化学,2023-02,OUT,1,35.67,37.18,False,True,1.51,2023-02,4550.0,4550.0,4550.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,4715.0,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4061,4061.T,デンカ,2023-02,OUT,1,34.96,37.68,False,True,2.72,2023-02,2875.0,2875.0,2875.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2735.0,-4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4078,4078.T,堺化学工業,2023-02,OUT,1,26.96,40.95,False,True,13.99,2023-02,1817.0,1817.0,1817.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1770.0,-2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4091,4091.T,日本酸素ホールディングス,2023-02,OUT,1,48.24,56.94,True,True,8.7,2023-02,2428.0,2428.0,2428.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2382.0,-1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4109,4109.T,ステラケミファ,2023-02,OUT,1,48.01,55.39,False,True,7.38,2023-02,2560.0,2560.0,2560.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2641.0,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4114,4114.T,日本触媒,2023-02,OUT,1,57.89,65.06,False,True,7.17,2023-02,1412.5,1412.5,1412.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1320.0,-6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,4180.T,APPIER GROUP,2023-02,OUT,7,59.12,73.58,True,True,14.46,2022-08,1215.0,1687.0,1687.0,38.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1678.0,38.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4194,4194.T,ビジョナル,2023-02,OUT,6,47.21,52.2,False,False,4.99,2022-09,8970.0,9130.0,9130.0,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,7400.0,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,4206.T,アイカ工業,2023-02,OUT,9,41.11,42.86,False,False,1.74,2022-06,2832.0,3095.0,3095.0,9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,3035.0,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4251,4251.T,恵和,2023-02,OUT,1,29.29,40.75,True,True,11.46,2023-02,1639.0,1639.0,1639.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1525.0,-6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4272,4272.T,日本化薬,2023-02,OUT,1,51.03,57.2,False,True,6.16,2023-02,1196.0,1196.0,1196.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1197.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4275,4275.T,カーリット,2023-02,OUT,7,51.67,67.03,False,False,15.36,2022-08,683.0,719.0,719.0,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,694.0,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4290,4290.T,プレステージ・インターナショナル,2023-02,OUT,6,46.82,50.0,False,False,3.18,2022-09,634.0,634.0,634.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,596.0,-5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4324,4324.T,電通グループ,2023-02,OUT,1,53.0,60.48,False,True,7.48,2023-02,4370.0,4370.0,4370.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,4650.0,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,4326.T,インテージホールディングス,2023-02,OUT,5,40.73,45.85,False,False,5.13,2022-10,1639.0,1462.0,1462.0,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1550.0,-5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4345,4345.T,シーティーエス,2023-02,OUT,2,43.33,62.72,False,True,19.4,2023-01,806.0,772.0,772.0,-4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,769.0,-4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4373,4373.T,シンプレクス・ホールディングス,2023-02,OUT,3,42.55,71.04,False,True,28.5,2022-12,523.5,570.25,570.25,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,609.0,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4432,4432.T,ウイングアーク１ｓｔ,2023-02,OUT,9,42.61,46.87,False,False,4.26,2022-06,1558.0,1765.0,1765.0,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1953.0,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4443,4443.T,Ｓａｎｓａｎ,2023-02,OUT,8,37.98,61.72,True,True,23.75,2022-07,1321.0,1542.0,1542.0,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1499.0,13.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4480,4480.T,メドレー,2023-02,OUT,12,63.91,75.34,False,True,11.43,2022-03,2584.0,3995.0,3995.0,54.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,4030.0,55.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4483,4483.T,ＪＭＤＣ,2023-02,OUT,1,32.87,41.02,True,True,8.15,2023-02,4305.0,4305.0,4305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,4550.0,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
