code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
6905,6905.T,コーセル,2025-06,CONTINUE,3,23.63,98.98,True,True,75.35,2025-04,1075.0,1120.0,1120.0,4.19,,,,,,,,,,,,,,,,,,,,,,,
2695,2695.T,くら寿司,2025-06,CONTINUE,2,30.25,100.0,True,True,69.75,2025-05,1595.0,1770.0,1770.0,10.97,,,,,,,,,,,,,,,,,,,,,,,
5310,5310.T,東洋炭素,2025-06,CONTINUE,2,21.49,85.71,True,True,64.22,2025-05,4250.0,4895.0,4895.0,15.18,,,,,,,,,,,,,,,,,,,,,,,
5202,5202.T,日本板硝子,2025-06,CONTINUE,8,38.67,100.0,True,False,61.33,2024-11,334.0,452.0,452.0,35.33,,,,,,,,,,,,,,,,,,,,,,,
8058,8058.T,三菱商事,2025-06,CONTINUE,3,29.44,90.46,False,True,61.02,2025-04,2712.0,2888.0,2888.0,6.49,,,,,,,,,,,,,,,,,,,,,,,
8053,8053.T,住友商事,2025-06,CONTINUE,5,37.6,97.4,False,True,59.8,2025-02,838.5,932.25,932.25,11.18,,,,,,,,,,,,,,,,,,,,,,,
7516,7516.T,コーナン商事,2025-06,CONTINUE,4,27.95,87.01,True,True,59.06,2025-03,3740.0,3900.0,3900.0,4.28,,,,,,,,,,,,,,,,,,,,,,,
2768,2768.T,双日,2025-06,CONTINUE,4,35.11,93.42,False,True,58.31,2025-03,3282.0,3545.0,3545.0,8.01,,,,,,,,,,,,,,,,,,,,,,,
3191,3191.T,ジョイフル本田,2025-06,CONTINUE,3,41.99,100.0,False,False,58.01,2025-04,2028.0,2087.0,2087.0,2.91,,,,,,,,,,,,,,,,,,,,,,,
7616,7616.T,コロワイド,2025-06,CONTINUE,5,35.24,92.87,True,True,57.64,2025-02,1694.5,1896.5,1896.5,11.92,,,,,,,,,,,,,,,,,,,,,,,
