code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
4027,4027.T,テイカ,2022-12,CONTINUE,5,41.98,45.85,False,False,3.86,2022-08,1321.0,1173.0,1173.0,-11.2,,,,,,,,,,,,,,,,,,,,,,,
8923,8923.T,トーセイ,2022-12,CONTINUE,10,67.0,70.83,True,False,3.84,2022-03,583.0,683.0,683.0,17.15,,,,,,,,,,,,,,,,,,,,,,,
9438,9438.T,エムティーアイ,2022-12,CONTINUE,7,28.91,32.73,True,False,3.82,2022-06,491.0,514.0,514.0,4.68,,,,,,,,,,,,,,,,,,,,,,,
3232,3232.T,三重交通グループホールディングス,2022-12,CONTINUE,9,47.03,50.82,True,True,3.79,2022-04,460.0,485.0,485.0,5.43,,,,,,,,,,,,,,,,,,,,,,,
4118,4118.T,カネカ,2022-12,CONTINUE,6,26.98,30.77,True,False,3.79,2022-07,3590.0,3290.0,3290.0,-8.36,,,,,,,,,,,,,,,,,,,,,,,
6820,6820.T,アイコム,2022-12,CONTINUE,15,65.32,69.11,True,False,3.79,2021-10,2420.0,2800.0,2800.0,15.7,,,,,,,,,,,,,,,,,,,,,,,
8129,8129.T,東邦ホールディングス,2022-12,NEW,1,61.55,65.3,True,True,3.75,2022-12,2198.0,2198.0,2198.0,0.0,2119.32,2023.72,1994.01,True,True,True,True,True,True,True,138163.0,2210.0,-0.54,False,0.64,1.84,0.91,True,2,True,14.21,1.34,False
7184,7184.T,富山第一銀行,2022-12,CONTINUE,2,87.82,91.5,True,True,3.68,2022-11,568.0,585.0,585.0,2.99,,,,,,,,,,,,,,,,,,,,,,,
8051,8051.T,山善,2022-12,CONTINUE,3,46.32,50.0,True,False,3.68,2022-10,925.0,1003.0,1003.0,8.43,,,,,,,,,,,,,,,,,,,,,,,
5703,5703.T,日本軽金属ホールディングス,2022-12,CONTINUE,3,33.21,36.88,True,False,3.67,2022-10,1451.0,1513.0,1513.0,4.27,,,,,,,,,,,,,,,,,,,,,,,
5101,5101.T,横浜ゴム,2022-12,CONTINUE,7,53.83,57.5,False,False,3.66,2022-06,1837.0,2058.0,2058.0,12.03,,,,,,,,,,,,,,,,,,,,,,,
2810,2810.T,ハウス食品グループ本社,2022-12,CONTINUE,9,36.6,40.2,True,True,3.6,2022-04,3040.0,2778.0,2778.0,-8.62,,,,,,,,,,,,,,,,,,,,,,,
6370,6370.T,栗田工業,2022-12,CONTINUE,7,48.47,52.04,False,False,3.57,2022-06,4910.0,5460.0,5460.0,11.2,,,,,,,,,,,,,,,,,,,,,,,
6141,6141.T,DMG森精機,2022-12,CONTINUE,2,44.79,48.35,True,False,3.56,2022-11,1831.0,1755.0,1755.0,-4.15,,,,,,,,,,,,,,,,,,,,,,,
9005,9005.T,東急,2022-12,CONTINUE,3,54.47,57.94,False,False,3.47,2022-10,1716.0,1663.0,1663.0,-3.09,,,,,,,,,,,,,,,,,,,,,,,
4967,4967.T,小林製薬,2022-12,CONTINUE,2,49.38,52.83,True,True,3.45,2022-11,8500.0,9030.0,9030.0,6.24,,,,,,,,,,,,,,,,,,,,,,,
3741,3741.T,セック,2022-12,NEW,1,64.0,67.42,True,True,3.42,2022-12,1387.0,1387.0,1387.0,0.0,1308.98,1172.18,1175.65,True,True,True,False,True,True,True,62187.0,1456.0,-4.74,False,0.59,3.85,0.85,True,2,True,20.95,3.27,False
1852,1852.T,淺沼組,2022-12,CONTINUE,2,73.73,77.14,True,True,3.41,2022-11,584.0,604.0,604.0,3.42,,,,,,,,,,,,,,,,,,,,,,,
1833,1833.T,奥村組,2022-12,NEW,1,51.53,54.92,True,True,3.39,2022-12,2985.0,2985.0,2985.0,0.0,2944.64,2893.75,2943.97,True,True,True,False,True,False,False,101313.0,3320.0,-10.09,False,0.83,1.06,1.11,False,3,True,-1.27,0.7,False
6358,6358.T,酒井重工業,2022-12,CONTINUE,2,72.95,76.33,True,False,3.38,2022-11,1762.5,1725.0,1725.0,-2.13,,,,,,,,,,,,,,,,,,,,,,,
1975,1975.T,朝日工業社,2022-12,CONTINUE,7,59.88,63.23,False,False,3.36,2022-06,846.5,1030.5,1030.5,21.74,,,,,,,,,,,,,,,,,,,,,,,
3496,3496.T,アズーム,2022-12,CONTINUE,8,65.62,68.89,False,False,3.27,2022-05,1880.0,2367.5,2367.5,25.93,,,,,,,,,,,,,,,,,,,,,,,
8255,8255.T,アクシアル   リテイリング,2022-12,CONTINUE,10,44.47,47.73,True,False,3.26,2022-03,800.0,847.5,847.5,5.94,,,,,,,,,,,,,,,,,,,,,,,
5802,5802.T,住友電気工業,2022-12,CONTINUE,8,49.88,53.1,False,False,3.23,2022-05,356.38,376.12,376.12,5.54,,,,,,,,,,,,,,,,,,,,,,,
8303,8303.T,SBI新生銀行,2022-12,CONTINUE,3,58.1,61.33,False,False,3.22,2022-10,2210.0,2148.0,2148.0,-2.81,,,,,,,,,,,,,,,,,,,,,,,
