code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
4310,4310.T,ドリームインキュベータ,2021-12,NEW,1,39.75,58.99,True,True,19.24,2021-12,1582.0,1582.0,1582.0,0.0,1245.28,970.12,,True,True,,,True,True,,164043.0,,,,0.6,5.71,0.98,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,58.99,39.75,True,True,19.24
6958,6958.T,日本シイエムケイ,2021-12,CONTINUE,4,49.51,65.16,True,True,15.65,2021-09,433.0,693.0,693.0,60.05,431.32,,,True,,,,True,,,206440.0,,,,1.34,3.83,1.34,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,65.16,49.51,True,True,15.65
7734,7734.T,理研計器,2021-12,CONTINUE,5,71.17,85.83,True,True,14.66,2021-08,1421.0,2935.0,2935.0,106.54,1333.44,,,True,,,,,,,,,,,,2.59,0.95,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,85.83,71.17,True,True,14.66
1814,1814.T,大末建設,2021-12,CONTINUE,2,57.6,71.71,True,True,14.1,2021-11,1118.0,1397.0,1397.0,24.96,1079.24,1006.72,,True,True,,,True,,,76967.0,,,,0.57,4.27,0.84,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,71.71,57.6,True,True,14.1
8550,8550.T,栃木銀行,2021-12,NEW,1,45.85,59.26,True,True,13.41,2021-12,231.0,231.0,231.0,0.0,187.24,182.85,,True,True,,,True,True,,383867.0,,,,2.76,2.75,1.41,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,59.26,45.85,True,True,13.41
2676,2676.T,高千穂交易,2021-12,CONTINUE,7,63.05,75.78,True,True,12.73,2021-06,578.5,772.5,772.5,33.54,,,,,,,,,,,,,,,,,,,,,,,,False,,tv_wilder_rsi14_sma5_v1,75.78,63.05,True,True,12.73
6078,6078.T,バリューＨＲ,2021-12,CONTINUE,4,64.34,77.0,True,True,12.67,2021-09,900.5,1409.0,1409.0,56.47,872.38,,,True,,,,True,,,55120.0,,,,1.37,2.29,1.11,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,77.0,64.34,True,True,12.67
3853,3853.T,アステリア,2021-12,CONTINUE,2,50.34,62.48,True,True,12.14,2021-11,803.0,1115.0,1115.0,38.85,773.8,720.11,,True,True,,,True,,,283203.0,,,,1.55,6.33,1.38,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,62.48,50.34,True,True,12.14
2307,2307.T,クロスキャット,2021-12,CONTINUE,5,59.4,71.24,True,True,11.85,2021-08,563.5,928.0,928.0,64.69,509.12,,,True,,,,,,,,,,,,3.5,1.55,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,71.24,59.4,True,True,11.85
6779,6779.T,日本電波工業,2021-12,CONTINUE,2,70.26,81.91,True,True,11.65,2021-11,1684.0,1791.0,1791.0,6.35,1319.08,1017.13,,True,True,,,True,,,944143.0,,,,1.0,9.87,1.14,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,81.91,70.26,True,True,11.65
