code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1377,1377.T,サカタのタネ,2025-01,OUT,2,42.99,48.0,True,True,5.02,2024-12,3465.0,3670.0,3670.0,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,3400.0,-1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,48.0,42.99,True,True,5.02
1417,1417.T,ミライト・ワン,2025-01,OUT,2,67.49,70.63,True,True,3.14,2024-12,2302.0,2310.5,2310.5,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,2223.0,-3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.63,67.49,True,True,3.14
1721,1721.T,コムシスホールディングス,2025-01,OUT,4,54.74,54.93,True,False,0.19,2024-10,3214.0,3229.0,3229.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,3180.0,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.93,54.74,False,True,0.19
1786,1786.T,オリエンタル白石,2025-01,OUT,6,63.15,64.48,True,True,1.33,2024-08,377.0,395.0,395.0,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,375.0,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.48,63.15,True,True,1.33
1802,1802.T,大林組,2025-01,OUT,3,73.0,73.97,True,False,0.97,2024-11,2135.0,2090.5,2090.5,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,2023.0,-5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.97,73.0,False,True,0.97
1808,1808.T,長谷工コーポレーション,2025-01,OUT,3,61.84,65.34,True,True,3.5,2024-11,2011.5,2041.5,2041.5,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1975.5,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.34,61.84,True,True,3.5
1879,1879.T,新日本建設,2025-01,OUT,1,65.73,66.69,False,True,0.96,2025-01,1605.0,1605.0,1605.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1499.0,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,66.69,65.73,True,False,0.96
1888,1888.T,若築建設,2025-01,OUT,3,61.17,61.84,False,False,0.67,2024-11,3615.0,3690.0,3690.0,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,3575.0,-1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.84,61.17,False,False,0.67
1934,1934.T,ユアテック,2025-01,OUT,2,69.27,74.0,True,True,4.73,2024-12,1558.0,1747.0,1747.0,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1581.0,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,74.0,69.27,True,True,4.73
1939,1939.T,四電工,2025-01,OUT,3,76.62,76.62,True,False,0.0,2024-11,1477.0,1535.0,1535.0,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1313.0,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,76.62,76.62,False,True,0.0
1946,1946.T,トーエネック,2025-01,OUT,2,55.22,59.01,True,True,3.78,2024-12,985.0,1025.0,1025.0,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,963.0,-2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.01,55.22,True,True,3.78
1952,1952.T,新日本空調,2025-01,OUT,2,60.55,60.64,True,False,0.09,2024-12,2041.0,1930.0,1930.0,-5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1652.0,-19.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.64,60.55,False,True,0.09
1963,1963.T,日揮ホールディングス,2025-01,OUT,4,42.75,43.22,True,False,0.47,2024-10,1319.5,1306.0,1306.0,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1110.0,-15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.22,42.75,False,True,0.47
1969,1969.T,高砂熱学工業,2025-01,OUT,3,68.83,69.07,False,False,0.24,2024-11,2981.5,3031.5,3031.5,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,2611.5,-12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,69.07,68.83,False,False,0.24
1975,1975.T,朝日工業社,2025-01,OUT,3,66.12,75.0,True,False,8.88,2024-11,1923.0,2206.0,2206.0,14.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1947.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,75.0,66.12,False,True,8.88
1976,1976.T,明星工業,2025-01,OUT,2,64.87,67.09,True,False,2.22,2024-12,1444.0,1409.0,1409.0,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1215.0,-15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.09,64.87,False,True,2.22
1982,1982.T,日比谷総合設備,2025-01,OUT,3,77.06,77.56,True,True,0.51,2024-11,1947.5,1922.5,1922.5,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1637.5,-15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,77.56,77.06,True,True,0.51
2060,2060.T,フィード・ワン,2025-01,OUT,1,49.59,50.82,False,True,1.23,2025-01,847.0,847.0,847.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,806.0,-4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,50.82,49.59,True,False,1.23
2120,2120.T,ＬＩＦＵＬＬ,2025-01,OUT,4,43.78,49.29,True,False,5.51,2024-10,148.0,200.0,200.0,35.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,162.0,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.29,43.78,False,True,5.51
2206,2206.T,江崎グリコ,2025-01,OUT,2,57.85,60.09,True,False,2.24,2024-12,4694.0,4683.0,4683.0,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,4552.0,-3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.09,57.85,False,True,2.24
2296,2296.T,伊藤ハム米久ホールディングス,2025-01,OUT,2,49.69,49.72,False,False,0.03,2024-12,3960.0,3865.0,3865.0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,3725.0,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.72,49.69,False,False,0.03
2301,2301.T,学情,2025-01,OUT,2,57.29,65.65,True,True,8.36,2024-12,2202.0,2257.0,2257.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,2015.0,-8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,65.65,57.29,True,True,8.36
2335,2335.T,キューブシステム,2025-01,OUT,2,45.17,46.9,False,False,1.73,2024-12,1065.0,1046.0,1046.0,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1007.0,-5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.9,45.17,False,False,1.73
2359,2359.T,コア,2025-01,OUT,2,55.45,55.78,True,False,0.32,2024-12,1880.0,1880.0,1880.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1820.0,-3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,55.78,55.45,False,True,0.32
2395,2395.T,新日本科学,2025-01,OUT,4,45.4,52.08,True,True,6.67,2024-10,1242.0,1700.0,1700.0,36.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1485.0,19.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.08,45.4,True,True,6.67
2410,2410.T,キャリアデザインセンター,2025-01,OUT,2,51.45,52.11,False,False,0.66,2024-12,1815.0,1812.0,1812.0,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1751.0,-3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.11,51.45,False,False,0.66
2491,2491.T,バリューコマース,2025-01,OUT,3,34.1,37.54,True,True,3.44,2024-11,1129.0,1210.0,1210.0,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,825.0,-26.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,37.54,34.1,True,True,3.44
2531,2531.T,宝ホールディングス,2025-01,OUT,7,58.91,63.58,True,True,4.67,2024-07,1145.0,1367.0,1367.0,19.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1168.5,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.58,58.91,True,True,4.67
2670,2670.T,エービーシー・マート,2025-01,OUT,3,64.99,67.81,True,True,2.82,2024-11,3075.0,3245.0,3245.0,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,2877.5,-6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.81,64.99,True,True,2.82
2674,2674.T,ハードオフコーポレーション,2025-01,OUT,1,64.01,64.14,False,True,0.13,2025-01,1955.0,1955.0,1955.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1861.0,-4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.14,64.01,True,False,0.13
2726,2726.T,パルグループホールディングス,2025-01,OUT,6,71.32,73.69,True,True,2.37,2024-08,1182.0,1720.0,1720.0,45.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1545.0,30.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.69,71.32,True,True,2.37
2792,2792.T,ハニーズホールディングス,2025-01,OUT,1,56.23,57.09,True,True,0.86,2025-01,1701.0,1701.0,1701.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,1629.0,-4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,57.09,56.23,True,True,0.86
