code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
2980,2980.T,SREホールディングス,2026-03,OUT,1,42.86,50.97,False,True,8.11,2026-03,2847.0,2847.0,2847.0,0.0,,,,,,,,,,,,,,,2026-04,3560.0,25.04,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,3050.T,ＤＣＭホールディングス,2026-03,OUT,1,59.13,72.49,False,True,13.35,2026-03,1600.0,1600.0,1600.0,0.0,,,,,,,,,,,,,,,2026-04,1461.0,-8.69,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,3086.T,Ｊ．フロントリテイリング,2026-03,OUT,1,55.41,56.78,False,False,1.37,2026-03,2414.0,2414.0,2414.0,0.0,,,,,,,,,,,,,,,2026-04,2285.5,-5.32,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,3091.T,ブロンコビリー,2026-03,OUT,3,63.14,81.04,True,True,17.9,2026-01,1915.0,2200.0,2200.0,14.88,,,,,,,,,,,,,,,2026-04,2070.0,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,3097.T,物語コーポレーション,2026-03,OUT,1,66.67,70.0,False,True,3.33,2026-03,4675.0,4675.0,4675.0,0.0,,,,,,,,,,,,,,,2026-04,4215.0,-9.84,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,3104.T,富士紡ホールディングス,2026-03,OUT,10,93.65,96.38,True,False,2.73,2025-06,1973.33,3605.0,3605.0,82.69,,,,,,,,,,,,,,,2026-04,3905.0,97.89,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,3107.T,ダイワボウホールディングス,2026-03,OUT,2,50.89,66.67,False,False,15.78,2026-02,3200.0,3065.0,3065.0,-4.22,,,,,,,,,,,,,,,2026-04,3207.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,3109.T,シキボウ,2026-03,OUT,8,56.78,61.69,False,False,4.9,2025-08,1020.0,1065.0,1065.0,4.41,,,,,,,,,,,,,,,2026-04,1065.0,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,3110.T,日東紡績,2026-03,OUT,10,66.46,66.74,False,False,0.28,2025-06,1216.0,3748.0,3748.0,208.22,,,,,,,,,,,,,,,2026-04,5708.0,369.41,,,,,,,,,,,,,,,,,,,,,,,,,,
3139,3139.T,ラクト・ジャパン,2026-03,OUT,1,57.91,59.84,False,True,1.94,2026-03,3585.0,3585.0,3585.0,0.0,,,,,,,,,,,,,,,2026-04,3325.0,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,
3154,3154.T,メディアスホールディングス,2026-03,OUT,2,41.22,63.22,False,True,22.0,2026-02,841.0,821.0,821.0,-2.38,,,,,,,,,,,,,,,2026-04,818.0,-2.73,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,3167.T,ＴＯＫＡＩホールディングス,2026-03,OUT,3,73.75,79.92,False,False,6.16,2026-01,1148.0,1164.0,1164.0,1.39,,,,,,,,,,,,,,,2026-04,1141.0,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,
3183,3183.T,ウイン・パートナーズ,2026-03,OUT,2,52.67,62.68,False,False,10.0,2026-02,1510.0,1369.0,1369.0,-9.34,,,,,,,,,,,,,,,2026-04,1257.0,-16.75,,,,,,,,,,,,,,,,,,,,,,,,,,
3193,3193.T,エターナルホスピタリティグループ,2026-03,OUT,5,61.31,73.26,False,False,11.95,2025-11,3250.0,3390.0,3390.0,4.31,,,,,,,,,,,,,,,2026-04,2990.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,3197.T,すかいらーくホールディングス,2026-03,OUT,1,62.95,64.71,False,True,1.76,2026-03,3405.0,3405.0,3405.0,0.0,,,,,,,,,,,,,,,2026-04,3008.0,-11.66,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,3231.T,野村不動産ホールディングス,2026-03,OUT,1,63.42,65.1,False,False,1.67,2026-03,1010.5,1010.5,1010.5,0.0,,,,,,,,,,,,,,,2026-04,1017.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,3252.T,地主,2026-03,OUT,1,73.36,75.74,False,False,2.37,2026-03,3250.0,3250.0,3250.0,0.0,,,,,,,,,,,,,,,2026-04,3360.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,
3291,3291.T,飯田グループホールディングス,2026-03,OUT,7,51.14,51.8,False,False,0.66,2025-09,2361.5,2392.0,2392.0,1.29,,,,,,,,,,,,,,,2026-04,2210.0,-6.42,,,,,,,,,,,,,,,,,,,,,,,,,,
