code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
6619,6619.T,ダブル・スコープ,2026-05,CONTINUE,2,55.13,100.0,True,True,44.87,2026-04,228.0,289.0,289.0,26.75,,,,,,,,,,,,,,,,,,,,,,,
2267,2267.T,ヤクルト本社,2026-05,CONTINUE,7,42.87,84.78,True,False,41.91,2025-11,2444.0,2681.5,2681.5,9.72,,,,,,,,,,,,,,,,,,,,,,,
5423,5423.T,東京製鐵,2026-05,CONTINUE,4,58.58,99.3,True,True,40.71,2026-02,1620.0,1756.0,1756.0,8.4,,,,,,,,,,,,,,,,,,,,,,,
4996,4996.T,クミアイ化学工業,2026-05,CONTINUE,3,43.02,82.29,False,True,39.27,2026-03,775.0,766.0,766.0,-1.16,,,,,,,,,,,,,,,,,,,,,,,
3632,3632.T,グリーホールディングス,2026-05,NEW,1,22.58,58.65,True,True,36.07,2026-05,418.0,418.0,418.0,0.0,390.88,385.11,410.36,True,True,True,False,True,False,False,611377.0,541.0,-22.74,False,1.18,3.55,0.88,True,3,True,-0.42,5.8,False
8897,8897.T,ＭＩＲＡＲＴＨホールディングス,2026-05,CONTINUE,8,31.45,67.09,True,True,35.64,2025-10,380.0,414.0,414.0,8.95,,,,,,,,,,,,,,,,,,,,,,,
9341,9341.T,GENOVA,2026-05,CONTINUE,7,16.64,50.31,True,True,33.68,2025-11,596.0,583.0,583.0,-2.18,,,,,,,,,,,,,,,,,,,,,,,
3031,3031.T,ラクーンホールディングス,2026-05,CONTINUE,3,18.88,50.0,False,False,31.12,2026-03,653.0,648.0,648.0,-0.77,,,,,,,,,,,,,,,,,,,,,,,
3046,3046.T,ジンズホールディングス,2026-05,CONTINUE,2,55.63,85.45,True,True,29.82,2026-04,6630.0,8260.0,8260.0,24.59,,,,,,,,,,,,,,,,,,,,,,,
3154,3154.T,メディアスホールディングス,2026-05,NEW,1,35.2,64.62,False,True,29.42,2026-05,836.0,836.0,836.0,0.0,835.84,824.96,826.84,True,True,True,False,True,True,False,20153.0,1002.0,-16.57,False,1.52,1.27,1.0,True,3,True,-1.26,0.12,True
2222,2222.T,寿スピリッツ,2026-05,CONTINUE,4,40.08,69.21,False,True,29.13,2026-02,1987.5,2085.0,2085.0,4.91,,,,,,,,,,,,,,,,,,,,,,,
9042,9042.T,阪急阪神ホールディングス,2026-05,CONTINUE,3,66.58,95.45,True,True,28.87,2026-03,4552.0,4683.0,4683.0,2.88,,,,,,,,,,,,,,,,,,,,,,,
7976,7976.T,三菱鉛筆,2026-05,CONTINUE,9,52.44,80.46,True,True,28.03,2025-09,2166.0,2623.0,2623.0,21.1,,,,,,,,,,,,,,,,,,,,,,,
7868,7868.T,広済堂ホールディングス,2026-05,CONTINUE,6,59.28,87.3,False,False,28.02,2025-12,452.0,593.0,593.0,31.19,,,,,,,,,,,,,,,,,,,,,,,
4967,4967.T,小林製薬,2026-05,CONTINUE,6,54.88,82.72,False,False,27.84,2025-12,5428.0,5852.0,5852.0,7.81,,,,,,,,,,,,,,,,,,,,,,,
7956,7956.T,ピジョン,2026-05,CONTINUE,2,51.18,78.94,False,True,27.75,2026-04,1687.0,1867.0,1867.0,10.67,,,,,,,,,,,,,,,,,,,,,,,
9041,9041.T,近鉄グループホールディングス,2026-05,CONTINUE,9,60.98,87.74,True,True,26.76,2025-09,3083.0,3587.0,3587.0,16.35,,,,,,,,,,,,,,,,,,,,,,,
4051,4051.T,GMOフィナンシャルゲート,2026-05,CONTINUE,2,55.63,81.25,True,True,25.62,2026-04,5690.0,5900.0,5900.0,3.69,,,,,,,,,,,,,,,,,,,,,,,
5408,5408.T,中山製鋼所,2026-05,CONTINUE,4,39.02,64.41,True,True,25.38,2026-02,634.0,650.0,650.0,2.52,,,,,,,,,,,,,,,,,,,,,,,
9519,9519.T,レノバ,2026-05,CONTINUE,2,75.04,100.0,True,True,24.96,2026-04,1111.0,1203.0,1203.0,8.28,,,,,,,,,,,,,,,,,,,,,,,
2170,2170.T,リンクアンドモチベーション,2026-05,CONTINUE,4,55.32,80.23,True,True,24.91,2026-02,562.0,563.0,563.0,0.18,,,,,,,,,,,,,,,,,,,,,,,
6191,6191.T,エアトリ,2026-05,NEW,1,40.29,64.17,True,True,23.88,2026-05,831.0,831.0,831.0,0.0,749.64,728.24,810.67,True,True,True,False,True,True,False,211917.0,1074.0,-22.63,False,1.05,4.85,1.47,False,3,True,3.25,9.57,False
7867,7867.T,タカラトミー,2026-05,NEW,1,44.03,67.87,True,True,23.84,2026-05,3159.0,3159.0,3159.0,0.0,2770.58,2759.29,2950.6,True,True,True,False,True,False,False,619517.0,3648.0,-13.4,False,1.28,3.45,1.08,False,3,True,6.18,7.12,False
8242,8242.T,エイチ・ツー・オー   リテイリング,2026-05,CONTINUE,9,56.88,80.55,True,True,23.67,2025-09,2171.0,2496.0,2496.0,14.97,,,,,,,,,,,,,,,,,,,,,,,
7309,7309.T,シマノ,2026-05,CONTINUE,6,25.89,49.38,False,True,23.49,2025-12,16535.0,16505.0,16505.0,-0.18,,,,,,,,,,,,,,,,,,,,,,,
4919,4919.T,ミルボン,2026-05,CONTINUE,7,41.63,64.88,True,True,23.25,2025-11,2541.0,2652.0,2652.0,4.37,,,,,,,,,,,,,,,,,,,,,,,
2590,2590.T,ダイドーグループホールディングス,2026-05,CONTINUE,7,42.96,66.17,True,True,23.21,2025-11,2548.0,2683.0,2683.0,5.3,,,,,,,,,,,,,,,,,,,,,,,
6135,6135.T,牧野フライス製作所,2026-05,CONTINUE,3,70.28,93.31,True,True,23.02,2026-03,11460.0,13240.0,13240.0,15.53,,,,,,,,,,,,,,,,,,,,,,,
2432,2432.T,ディー・エヌ・エー,2026-05,CONTINUE,2,37.7,60.65,True,False,22.95,2026-04,2538.0,2663.0,2663.0,4.93,,,,,,,,,,,,,,,,,,,,,,,
2475,2475.T,ＷＤＢホールディングス,2026-05,NEW,1,47.71,70.52,True,True,22.82,2026-05,1801.0,1801.0,1801.0,0.0,1630.96,1584.41,1636.69,True,True,True,False,True,True,False,36407.0,1990.0,-9.5,False,0.7,3.67,1.3,False,1,True,9.05,7.77,False
3853,3853.T,アステリア,2026-05,CONTINUE,2,74.61,97.27,True,True,22.66,2026-04,1490.0,2404.0,2404.0,61.34,,,,,,,,,,,,,,,,,,,,,,,
7944,7944.T,ローランド,2026-05,CONTINUE,9,63.13,85.71,True,True,22.58,2025-09,3375.0,4570.0,4570.0,35.41,,,,,,,,,,,,,,,,,,,,,,,
6707,6707.T,サンケン電気,2026-05,CONTINUE,2,59.79,82.34,False,False,22.55,2026-04,9350.0,9090.0,9090.0,-2.78,,,,,,,,,,,,,,,,,,,,,,,
6724,6724.T,セイコーエプソン,2026-05,CONTINUE,8,63.39,84.87,True,True,21.47,2025-10,1956.5,2927.5,2927.5,49.63,,,,,,,,,,,,,,,,,,,,,,,
4886,4886.T,あすか製薬ホールディングス,2026-05,CONTINUE,4,67.56,88.18,False,True,20.62,2026-02,2492.0,2930.0,2930.0,17.58,,,,,,,,,,,,,,,,,,,,,,,
3865,3865.T,北越コーポレーション,2026-05,CONTINUE,8,32.96,53.02,True,True,20.05,2025-10,819.0,914.0,914.0,11.6,,,,,,,,,,,,,,,,,,,,,,,
8113,8113.T,ユニ・チャーム,2026-05,CONTINUE,5,37.24,57.23,False,True,19.99,2026-01,939.4,948.2,948.2,0.94,,,,,,,,,,,,,,,,,,,,,,,
4923,4923.T,コタ,2026-05,CONTINUE,4,32.05,51.91,True,True,19.86,2026-02,1270.48,1094.0,1094.0,-13.89,,,,,,,,,,,,,,,,,,,,,,,
9793,9793.T,ダイセキ,2026-05,CONTINUE,7,56.82,76.57,False,False,19.75,2025-11,3510.0,4035.0,4035.0,14.96,,,,,,,,,,,,,,,,,,,,,,,
4385,4385.T,メルカリ,2026-05,CONTINUE,6,80.0,99.63,True,False,19.63,2025-12,3170.0,4239.0,4239.0,33.72,,,,,,,,,,,,,,,,,,,,,,,
3864,3864.T,三菱製紙,2026-05,CONTINUE,4,74.59,94.06,True,True,19.47,2026-02,855.0,1100.0,1100.0,28.65,,,,,,,,,,,,,,,,,,,,,,,
4922,4922.T,コーセーホールディングス,2026-05,CONTINUE,11,41.51,60.87,True,False,19.36,2025-07,5826.0,5606.0,5606.0,-3.78,,,,,,,,,,,,,,,,,,,,,,,
4543,4543.T,テルモ,2026-05,NEW,1,38.29,57.6,True,True,19.31,2026-05,2401.0,2401.0,2401.0,0.0,2142.0,2101.84,2313.78,True,True,True,False,True,True,False,6221933.0,2818.0,-14.8,False,1.2,3.38,1.35,False,3,True,4.4,8.81,True
4958,4958.T,長谷川香料,2026-05,CONTINUE,4,59.69,78.88,True,True,19.19,2026-02,2919.0,3075.0,3075.0,5.34,,,,,,,,,,,,,,,,,,,,,,,
4559,4559.T,ゼリア新薬工業,2026-05,CONTINUE,6,51.73,70.49,False,True,18.76,2025-12,2099.0,2292.0,2292.0,9.19,,,,,,,,,,,,,,,,,,,,,,,
4025,4025.T,多木化学,2026-05,CONTINUE,3,79.73,97.98,True,True,18.24,2026-03,4250.0,5010.0,5010.0,17.88,,,,,,,,,,,,,,,,,,,,,,,
9739,9739.T,ＮＳＷ,2026-05,NEW,1,34.57,52.69,False,True,18.13,2026-05,2538.0,2538.0,2538.0,0.0,2519.16,2464.79,2519.46,True,True,True,False,True,True,False,22180.0,2804.0,-9.49,False,1.44,2.87,1.0,False,1,True,3.15,3.71,False
2685,2685.T,アンドエスティＨＤ,2026-05,CONTINUE,11,60.85,78.86,True,True,18.01,2025-07,3005.0,3260.0,3260.0,8.49,,,,,,,,,,,,,,,,,,,,,,,
4911,4911.T,資生堂,2026-05,CONTINUE,12,49.84,67.61,False,False,17.77,2025-06,2573.5,2810.5,2810.5,9.21,,,,,,,,,,,,,,,,,,,,,,,
7915,7915.T,ＮＩＳＳＨＡ,2026-05,CONTINUE,11,59.97,77.03,True,True,17.06,2025-07,1346.0,1636.0,1636.0,21.55,,,,,,,,,,,,,,,,,,,,,,,
7752,7752.T,リコー,2026-05,CONTINUE,7,42.98,60.02,True,True,17.05,2025-11,1401.0,1458.5,1458.5,4.1,,,,,,,,,,,,,,,,,,,,,,,
5659,5659.T,日本精線,2026-05,CONTINUE,9,58.59,75.54,True,False,16.95,2025-09,1100.0,1431.0,1431.0,30.09,,,,,,,,,,,,,,,,,,,,,,,
6564,6564.T,ミダックホールディングス,2026-05,CONTINUE,3,51.7,68.59,True,False,16.89,2026-03,1917.0,2120.0,2120.0,10.59,,,,,,,,,,,,,,,,,,,,,,,
3099,3099.T,三越伊勢丹ホールディングス,2026-05,CONTINUE,4,68.8,85.61,True,True,16.81,2026-02,3080.0,3396.0,3396.0,10.26,,,,,,,,,,,,,,,,,,,,,,,
4578,4578.T,大塚ホールディングス,2026-05,CONTINUE,9,83.28,100.0,False,False,16.72,2025-09,7859.0,11715.0,11715.0,49.06,,,,,,,,,,,,,,,,,,,,,,,
3932,3932.T,アカツキ,2026-05,CONTINUE,4,50.75,67.45,True,True,16.7,2026-02,3080.0,3160.0,3160.0,2.6,,,,,,,,,,,,,,,,,,,,,,,
8766,8766.T,東京海上ホールディングス,2026-05,CONTINUE,3,68.14,84.64,False,False,16.5,2026-03,7308.0,7111.0,7111.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,
7433,7433.T,伯東,2026-05,CONTINUE,10,60.54,76.92,True,True,16.38,2025-08,3955.0,4545.0,4545.0,14.92,,,,,,,,,,,,,,,,,,,,,,,
9517,9517.T,イーレックス,2026-05,CONTINUE,4,50.39,66.67,False,False,16.27,2026-02,736.0,812.0,812.0,10.33,,,,,,,,,,,,,,,,,,,,,,,
