code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
7746,7746.T,岡本硝子,2024-12,CONTINUE,2,51.35,78.1,True,True,26.75,2024-11,171.0,250.0,250.0,46.2,123.0,122.97,129.12,True,True,True,False,True,False,False,1113690.0,183.0,-6.56,False,5.77,5.47,1.56,False,1,True,32.1,11.32,True,False,,tv_wilder_rsi14_sma5_v1,78.1,51.35,True,True,26.75
4124,4124.T,大阪油化工業,2024-12,CONTINUE,4,53.5,79.94,True,True,26.43,2024-09,1521.0,3195.0,3195.0,110.06,1491.24,1479.32,1497.71,True,True,True,False,True,True,False,733.0,1775.0,-14.31,False,1.94,0.75,1.07,False,3,True,-2.09,1.13,False,False,,tv_wilder_rsi14_sma5_v1,79.94,53.5,True,True,26.43
4935,4935.T,リベルタ,2024-12,CONTINUE,2,66.01,91.34,True,True,25.34,2024-11,217.2,938.0,938.0,331.86,163.29,142.82,119.37,True,True,True,True,True,False,True,1519183.0,326.6,-33.5,False,0.94,11.06,1.63,False,2,True,123.75,39.03,False,False,,tv_wilder_rsi14_sma5_v1,91.34,66.01,True,True,25.34
7097,7097.T,さくらさくプラス,2024-12,NEW,1,51.4,76.12,True,True,24.73,2024-12,2039.0,2039.0,2039.0,0.0,1392.48,1113.09,1046.05,True,True,True,True,True,True,True,44847.0,2005.0,1.7,True,0.9,5.03,1.0,True,2,True,112.58,43.52,False,True,BREAKOUT,tv_wilder_rsi14_sma5_v1,76.12,51.4,True,True,24.73
4416,4416.T,Ｔｒｕｅ　Ｄａｔａ,2024-12,CONTINUE,3,38.54,62.75,True,True,24.21,2024-10,435.0,817.0,817.0,87.82,413.4,420.87,443.4,True,True,False,False,True,False,False,27263.0,538.0,-19.14,False,2.48,7.04,1.26,False,4,True,-3.71,4.77,False,False,,tv_wilder_rsi14_sma5_v1,62.75,38.54,True,True,24.21
4576,4576.T,デ・ウエスタン・セラピテクス研究所,2024-12,CONTINUE,2,35.11,58.07,True,True,22.96,2024-11,100.0,201.0,201.0,101.0,79.44,76.95,94.11,True,True,True,False,True,False,False,4894273.0,167.0,-40.12,False,1.48,12.14,1.75,False,3,True,-0.15,14.16,False,False,,tv_wilder_rsi14_sma5_v1,58.07,35.11,True,True,22.96
6433,6433.T,ヒーハイスト,2024-12,NEW,1,48.31,69.87,True,True,21.56,2024-12,378.0,378.0,378.0,0.0,335.44,272.4,258.76,True,True,True,True,True,True,True,160097.0,413.0,-8.47,False,0.54,4.04,0.97,True,2,False,52.58,8.68,False,False,,tv_wilder_rsi14_sma5_v1,69.87,48.31,True,True,21.56
6135,6135.T,牧野フライス製作所,2024-12,CONTINUE,2,59.7,80.91,True,True,21.2,2024-11,6620.0,10750.0,10750.0,62.39,6450.8,6013.2,6211.95,True,True,True,False,True,True,True,129777.0,7260.0,-8.82,False,0.85,2.24,0.88,True,2,True,11.07,-0.4,False,False,,tv_wilder_rsi14_sma5_v1,80.91,59.7,True,True,21.2
4784,4784.T,ＧＭＯインターネット,2024-12,CONTINUE,2,60.46,81.02,True,True,20.57,2024-11,643.0,1199.0,1199.0,86.47,505.32,466.59,416.12,True,True,True,True,True,True,True,166333.0,907.0,-29.11,False,4.84,9.86,1.8,False,2,False,68.08,26.57,False,False,,tv_wilder_rsi14_sma5_v1,81.02,60.46,True,True,20.57
3807,3807.T,フィスコ,2024-12,CONTINUE,2,42.53,63.04,True,True,20.51,2024-11,124.0,160.0,160.0,29.03,107.56,87.31,93.38,True,True,True,False,True,True,True,5809237.0,162.0,-23.46,False,0.17,16.53,0.77,True,1,True,38.69,12.66,False,False,,tv_wilder_rsi14_sma5_v1,63.04,42.53,True,True,20.51
6907,6907.T,ジオマテック,2024-12,CONTINUE,2,52.44,72.11,True,True,19.67,2024-11,545.0,803.0,803.0,47.34,537.68,510.68,506.68,True,True,True,True,True,True,True,38960.0,660.0,-17.42,False,0.2,3.26,0.63,True,2,False,10.11,-0.1,False,False,,tv_wilder_rsi14_sma5_v1,72.11,52.44,True,True,19.67
7057,7057.T,エヌ・シー・エヌ,2024-12,CONTINUE,3,48.12,67.22,True,True,19.1,2024-10,921.0,1262.0,1262.0,37.02,873.92,840.8,887.8,True,True,True,False,True,True,False,1127.0,978.0,-5.83,False,0.96,1.8,1.1,False,1,True,1.26,3.2,False,False,,tv_wilder_rsi14_sma5_v1,67.22,48.12,True,True,19.1
4583,4583.T,カイオム・バイオサイエンス,2024-12,CONTINUE,2,48.57,67.29,True,True,18.73,2024-11,207.0,269.0,269.0,29.95,131.56,117.53,126.14,True,True,True,False,True,True,False,11153700.0,304.0,-31.91,False,4.52,12.11,1.82,False,1,True,63.25,44.22,False,False,,tv_wilder_rsi14_sma5_v1,67.29,48.57,True,True,18.73
8107,8107.T,キムラタン,2024-12,CONTINUE,7,55.4,74.08,True,False,18.68,2024-06,18.0,30.0,30.0,66.67,17.2,17.4,18.2,True,True,False,False,False,False,False,979277.0,22.0,-18.18,False,0.26,5.56,1.0,False,4,False,-1.65,1.25,False,False,,tv_wilder_rsi14_sma5_v1,74.08,55.4,False,True,18.68
7067,7067.T,ブランディングテクノロジー,2024-12,NEW,1,47.16,65.73,True,True,18.57,2024-12,1638.0,1638.0,1638.0,0.0,983.52,969.73,1009.0,True,True,True,False,True,True,False,24670.0,1615.0,1.42,True,5.83,3.84,1.82,False,3,True,60.37,18.13,True,False,,tv_wilder_rsi14_sma5_v1,65.73,47.16,True,True,18.57
2432,2432.T,ディー・エヌ・エー,2024-12,CONTINUE,7,63.28,80.38,True,True,17.11,2024-06,1595.0,3135.0,3135.0,96.55,1531.88,1528.48,1480.69,True,True,True,True,True,True,True,614433.0,1931.5,-17.42,False,0.95,2.13,1.04,False,1,True,4.57,1.99,False,False,,tv_wilder_rsi14_sma5_v1,80.38,63.28,True,True,17.11
2321,2321.T,ソフトフロントホールディングス,2024-12,CONTINUE,2,42.47,59.47,True,True,16.99,2024-11,83.0,104.0,104.0,25.3,75.6,72.56,77.59,True,True,True,False,True,False,False,303953.0,108.0,-23.15,False,0.48,6.28,1.08,False,1,True,8.99,9.51,False,False,,tv_wilder_rsi14_sma5_v1,59.47,42.47,True,True,16.99
9193,9193.T,東京汽船,2024-12,CONTINUE,2,54.53,71.34,True,True,16.8,2024-11,754.0,793.0,793.0,5.17,667.12,591.21,610.69,True,True,True,False,True,True,True,37717.0,813.0,-7.26,False,0.62,3.54,0.52,True,1,True,28.69,9.95,False,False,,tv_wilder_rsi14_sma5_v1,71.34,54.53,True,True,16.8
5858,5858.T,ＳＴＧ,2024-12,CONTINUE,3,33.12,49.82,True,True,16.7,2024-10,927.5,1364.5,1364.5,47.12,912.34,949.25,1186.79,True,False,False,False,False,False,False,6213.0,1955.0,-52.56,False,1.09,2.08,0.95,True,4,False,-24.1,1.2,False,False,,tv_wilder_rsi14_sma5_v1,49.82,33.12,True,True,16.7
4445,4445.T,リビン・テクノロジーズ,2024-12,NEW,1,39.48,55.75,True,True,16.26,2024-12,1331.0,1331.0,1331.0,0.0,1167.68,965.63,1009.67,True,True,True,False,True,True,True,44533.0,1424.0,-6.53,False,0.14,2.01,0.37,True,1,True,31.28,6.43,False,False,,tv_wilder_rsi14_sma5_v1,55.75,39.48,True,True,16.26
3662,3662.T,エイチームホールディングス,2024-12,CONTINUE,2,48.47,64.24,True,True,15.78,2024-11,660.0,997.0,997.0,51.06,627.92,640.88,648.78,True,True,True,False,True,False,True,37757.0,773.0,-14.62,False,0.75,2.53,0.91,True,2,True,0.87,-0.55,False,False,,tv_wilder_rsi14_sma5_v1,64.24,48.47,True,True,15.78
1975,1975.T,朝日工業社,2024-12,CONTINUE,2,62.7,78.24,True,True,15.54,2024-11,1923.0,2275.0,2275.0,18.3,1578.44,1398.63,1445.27,True,True,True,False,True,True,True,128343.0,1940.0,-0.88,False,1.24,4.69,0.97,True,1,True,38.82,13.78,False,False,,tv_wilder_rsi14_sma5_v1,78.24,62.7,True,True,15.54
7220,7220.T,武蔵精密工業,2024-12,CONTINUE,2,67.51,82.8,True,True,15.29,2024-11,3305.0,3960.0,3960.0,19.82,2714.2,2229.72,1926.85,True,True,True,True,True,True,True,947603.0,3595.0,-8.07,False,1.05,7.86,0.84,True,2,True,83.34,21.49,False,False,,tv_wilder_rsi14_sma5_v1,82.8,67.51,True,True,15.29
7378,7378.T,アシロ,2024-12,CONTINUE,9,65.55,80.79,True,True,15.24,2024-04,735.0,1686.0,1686.0,129.39,735.92,732.04,773.65,False,True,False,False,False,True,False,26743.0,980.0,-25.0,False,0.33,1.75,0.92,True,4,True,-2.93,-0.2,False,False,,tv_wilder_rsi14_sma5_v1,80.79,65.55,True,True,15.24
3185,3185.T,夢展望,2024-12,NEW,1,40.2,55.26,True,True,15.06,2024-12,197.0,197.0,197.0,0.0,152.92,143.81,149.62,True,True,True,False,True,True,False,5786600.0,267.0,-26.22,False,2.73,15.48,1.54,False,1,True,35.29,20.92,False,False,,tv_wilder_rsi14_sma5_v1,55.26,40.2,True,True,15.06
3696,3696.T,セレス,2024-12,CONTINUE,3,57.1,71.96,True,True,14.86,2024-10,1601.0,3105.0,3105.0,93.94,1412.08,1421.03,1567.63,True,True,True,False,True,False,True,240953.0,2256.0,-29.03,False,1.51,4.11,1.21,False,2,True,20.68,6.29,True,False,,tv_wilder_rsi14_sma5_v1,71.96,57.1,True,True,14.86
7760,7760.T,ＩＭＶ,2024-12,CONTINUE,2,67.06,81.91,True,True,14.85,2024-11,895.0,1302.0,1302.0,45.47,796.52,733.24,698.65,True,True,True,True,True,True,True,154053.0,998.0,-10.32,False,1.33,5.83,1.17,False,2,True,44.82,7.69,False,False,,tv_wilder_rsi14_sma5_v1,81.91,67.06,True,True,14.85
6203,6203.T,豊和工業,2024-12,CONTINUE,4,60.79,75.1,True,True,14.31,2024-09,870.0,1260.0,1260.0,44.83,817.44,840.93,807.91,True,True,True,False,False,True,True,88313.0,965.0,-9.84,False,2.01,2.95,1.14,False,2,True,7.0,4.14,False,False,,tv_wilder_rsi14_sma5_v1,75.1,60.79,True,True,14.31
6757,6757.T,ＯＳＧコーポレーション,2024-12,CONTINUE,3,46.41,60.71,True,True,14.31,2024-10,841.0,1064.0,1064.0,26.52,826.68,810.43,881.75,True,True,False,False,True,False,False,3247.0,1268.0,-33.68,False,0.92,1.48,1.03,False,4,True,-7.38,-0.18,False,False,,tv_wilder_rsi14_sma5_v1,60.71,46.41,True,True,14.31
3562,3562.T,Ｎｏ．１,2024-12,CONTINUE,3,60.48,73.94,True,True,13.46,2024-10,1632.0,2002.0,2002.0,22.67,960.48,988.63,984.02,True,True,True,False,True,False,True,70610.0,1675.0,-2.57,False,4.29,4.51,1.8,False,2,True,65.21,29.2,False,False,,tv_wilder_rsi14_sma5_v1,73.94,60.48,True,True,13.46
4499,4499.T,Ｓｐｅｅｅ,2024-12,CONTINUE,5,58.72,71.99,True,True,13.27,2024-08,1580.0,5250.0,5250.0,232.28,1311.56,1402.49,1691.47,True,True,False,False,False,False,False,47353.0,4425.0,-64.29,False,1.02,4.8,0.76,True,4,True,-18.06,11.49,False,False,,tv_wilder_rsi14_sma5_v1,71.99,58.72,True,True,13.27
9557,9557.T,エアークローゼット,2024-12,CONTINUE,4,26.56,39.64,True,True,13.08,2024-09,374.0,494.0,494.0,32.09,368.0,370.35,398.81,True,True,False,False,True,False,False,6493.0,473.0,-20.93,False,0.79,2.52,0.7,True,1,False,-8.1,0.17,False,False,,tv_wilder_rsi14_sma5_v1,39.64,26.56,True,True,13.08
3565,3565.T,アセンテック,2024-12,CONTINUE,6,53.54,66.55,True,True,13.01,2024-07,196.0,330.0,330.0,68.37,198.13,189.48,188.57,False,True,True,True,True,False,True,253840.0,258.0,-24.03,False,0.76,2.98,0.99,True,2,True,6.25,-1.98,False,False,,tv_wilder_rsi14_sma5_v1,66.55,53.54,True,True,13.01
8789,8789.T,フィンテック　グローバル,2024-12,CONTINUE,2,61.47,74.39,True,True,12.92,2024-11,91.0,123.0,123.0,35.16,84.96,79.73,83.19,True,True,True,False,True,True,True,1971390.0,101.0,-9.9,False,0.73,3.06,0.7,True,2,True,17.35,-1.55,False,False,,tv_wilder_rsi14_sma5_v1,74.39,61.47,True,True,12.92
9308,9308.T,乾汽船,2024-12,CONTINUE,2,49.05,61.98,True,True,12.92,2024-11,1540.0,1695.0,1695.0,10.06,1364.92,1218.81,1136.6,True,True,True,True,True,True,True,240700.0,1619.0,-4.88,False,0.8,2.82,0.77,True,2,True,39.77,11.49,False,False,,tv_wilder_rsi14_sma5_v1,61.98,49.05,True,True,12.92
4825,4825.T,ウェザーニューズ,2024-12,NEW,1,52.18,64.99,True,True,12.81,2024-12,1935.0,1935.0,1935.0,0.0,1565.16,1510.99,1350.85,True,True,True,True,True,True,True,330733.0,1675.0,15.52,True,1.69,2.94,1.15,False,2,True,45.2,7.62,True,True,BOTH,tv_wilder_rsi14_sma5_v1,64.99,52.18,True,True,12.81
8030,8030.T,中央魚類,2024-12,CONTINUE,3,59.41,72.13,True,True,12.73,2024-10,3165.0,3950.0,3950.0,24.8,3150.4,3055.43,3101.13,True,True,True,False,True,True,True,3060.0,3400.0,-6.91,False,1.08,1.62,1.12,False,1,False,3.02,-0.6,False,False,,tv_wilder_rsi14_sma5_v1,72.13,59.41,True,True,12.73
3917,3917.T,アイリッジ,2024-12,CONTINUE,2,39.07,51.79,True,True,12.72,2024-11,491.0,604.0,604.0,23.01,450.24,446.33,469.89,True,True,True,False,True,True,False,27353.0,658.0,-25.38,False,0.72,3.45,0.96,True,3,True,2.01,6.58,False,False,,tv_wilder_rsi14_sma5_v1,51.79,39.07,True,True,12.72
5801,5801.T,古河電気工業,2024-12,CONTINUE,2,69.54,82.24,True,True,12.7,2024-11,615.5,668.5,668.5,8.61,513.88,405.65,375.35,True,True,True,True,True,True,True,25315600.0,649.2,-5.19,False,1.43,4.96,0.89,True,2,True,94.45,15.66,False,False,,tv_wilder_rsi14_sma5_v1,82.24,69.54,True,True,12.7
6180,6180.T,ＧＭＯメディア,2024-12,CONTINUE,2,62.98,75.62,True,True,12.64,2024-11,4040.0,4480.0,4480.0,10.89,3515.88,3069.87,3098.8,True,True,True,False,True,True,True,4983.0,4385.0,-7.87,False,0.79,2.97,0.86,True,1,True,30.98,7.74,False,False,,tv_wilder_rsi14_sma5_v1,75.62,62.98,True,True,12.64
4820,4820.T,イーエムシステムズ,2024-12,CONTINUE,2,41.93,54.55,True,True,12.62,2024-11,728.0,782.0,782.0,7.42,610.16,566.25,623.48,True,True,True,False,True,True,False,134677.0,786.0,-7.38,False,1.38,4.16,1.2,False,1,True,16.08,12.5,False,False,,tv_wilder_rsi14_sma5_v1,54.55,41.93,True,True,12.62
9073,9073.T,京極運輸商事,2024-12,NEW,1,59.73,72.33,True,True,12.59,2024-12,1599.0,1599.0,1599.0,0.0,800.08,886.05,856.84,True,True,True,False,False,False,True,64793.0,1592.0,0.44,True,5.12,7.08,1.79,False,2,True,101.35,23.39,True,True,MVP,tv_wilder_rsi14_sma5_v1,72.33,59.73,True,True,12.59
4776,4776.T,サイボウズ,2024-12,CONTINUE,4,53.05,65.63,True,True,12.58,2024-09,1957.0,2897.0,2897.0,48.03,1734.52,1777.43,1841.45,True,True,True,False,True,True,False,307907.0,2383.0,-17.88,False,2.15,3.3,1.08,False,3,True,-2.27,4.75,False,False,,tv_wilder_rsi14_sma5_v1,65.63,53.05,True,True,12.58
3071,3071.T,ストリーム,2024-12,NEW,1,39.86,52.33,True,True,12.48,2024-12,113.0,113.0,113.0,0.0,102.6,100.11,104.63,True,True,True,False,True,True,False,84883.0,127.0,-11.02,False,1.4,2.53,1.25,False,1,True,7.67,4.72,True,False,,tv_wilder_rsi14_sma5_v1,52.33,39.86,True,True,12.48
7322,7322.T,三十三フィナンシャルグループ,2024-12,CONTINUE,2,52.22,64.54,True,True,12.33,2024-11,504.5,570.25,570.25,13.03,470.01,445.2,484.05,True,True,True,False,True,False,True,341960.0,555.5,-9.18,False,0.8,1.99,0.73,True,1,True,6.05,4.38,False,False,,tv_wilder_rsi14_sma5_v1,64.54,52.22,True,True,12.33
1967,1967.T,ヤマト,2024-12,CONTINUE,2,59.7,71.97,True,True,12.26,2024-11,1231.0,1382.0,1382.0,12.27,1032.28,984.05,1004.61,True,True,True,False,True,True,True,41043.0,1224.0,0.57,True,1.51,3.02,1.17,False,1,True,25.16,8.9,True,True,MVP,tv_wilder_rsi14_sma5_v1,71.97,59.7,True,True,12.26
3461,3461.T,パルマ,2024-12,CONTINUE,4,52.9,65.16,True,True,12.26,2024-09,390.0,525.0,525.0,34.62,348.84,343.81,353.38,True,True,True,False,True,True,True,56313.0,446.0,-12.56,False,1.91,4.85,1.34,False,1,True,14.23,10.57,False,False,,tv_wilder_rsi14_sma5_v1,65.16,52.9,True,True,12.26
