code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
4078,4078.T,堺化学工業,2024-05,CONTINUE,4,55.76,73.29,True,True,17.53,2024-02,1997.0,2772.0,2772.0,38.81,1940.0,1893.83,1928.41,True,True,True,False,True,False,True,57343.0,2207.0,-9.52,False,0.72,1.91,1.06,False,2,True,7.25,3.27,False,False,,tv_wilder_rsi14_sma5_v1,73.29,55.76,True,True,17.53
5631,5631.T,日本製鋼所,2024-05,CONTINUE,4,58.82,74.38,True,True,15.56,2024-02,2727.5,4731.0,4731.0,73.46,2472.82,2484.77,2710.52,True,True,True,False,True,False,True,590287.0,3178.0,-14.18,False,1.16,2.48,1.04,False,1,True,0.85,3.7,False,False,,tv_wilder_rsi14_sma5_v1,74.38,58.82,True,True,15.56
9505,9505.T,北陸電力,2024-05,CONTINUE,3,64.67,79.7,True,True,15.03,2024-03,801.7,1161.5,1161.5,44.88,758.18,735.71,771.78,True,True,True,False,True,True,True,1325920.0,931.6,-13.94,False,1.27,3.21,1.11,False,1,True,10.8,2.94,False,False,,tv_wilder_rsi14_sma5_v1,79.7,64.67,True,True,15.03
2053,2053.T,中部飼料,2024-05,CONTINUE,5,61.81,76.76,True,True,14.95,2024-01,1208.0,1607.0,1607.0,33.03,1105.64,1085.09,1091.85,True,True,True,False,True,False,True,51693.0,1169.0,3.34,True,1.82,1.53,1.19,False,2,True,13.15,2.76,True,False,,tv_wilder_rsi14_sma5_v1,76.76,61.81,True,True,14.95
6278,6278.T,ユニオンツール,2024-05,CONTINUE,4,63.91,77.64,True,True,13.73,2024-02,3825.0,5700.0,5700.0,49.02,3566.4,3448.0,3467.4,True,True,True,False,True,False,True,59170.0,4135.0,-7.5,False,0.67,4.44,1.59,False,2,True,12.39,7.14,False,False,,tv_wilder_rsi14_sma5_v1,77.64,63.91,True,True,13.73
9509,9509.T,北海道電力,2024-05,CONTINUE,5,80.55,93.93,True,True,13.38,2024-01,661.1,1649.5,1649.5,149.51,645.42,640.31,613.2,True,True,True,True,True,False,True,1053523.0,732.0,-9.69,False,0.78,1.95,0.87,True,2,True,19.53,0.38,False,False,,tv_wilder_rsi14_sma5_v1,93.93,80.55,True,True,13.38
6638,6638.T,ミマキエンジニアリング,2024-05,CONTINUE,7,67.65,80.26,True,True,12.62,2023-11,969.0,1813.0,1813.0,87.1,823.96,781.79,757.3,True,True,True,True,True,False,True,93683.0,1011.0,-4.15,False,1.07,4.02,1.05,False,2,True,42.87,17.28,False,False,,tv_wilder_rsi14_sma5_v1,80.26,67.65,True,True,12.62
5357,5357.T,ヨータイ,2024-05,NEW,1,58.82,71.22,True,True,12.4,2024-05,1802.0,1802.0,1802.0,0.0,1649.12,1528.29,1496.26,True,True,True,True,True,True,True,29747.0,1837.0,-1.91,False,0.95,1.6,0.59,True,2,True,22.96,5.92,False,False,,tv_wilder_rsi14_sma5_v1,71.22,58.82,True,True,12.4
9310,9310.T,日本トランスシティ,2024-05,CONTINUE,3,61.48,73.88,True,True,12.4,2024-03,676.0,875.0,875.0,29.44,641.36,632.44,638.38,True,True,True,False,True,True,True,87447.0,705.0,-4.11,False,1.7,2.14,1.08,False,2,True,9.19,3.6,False,False,,tv_wilder_rsi14_sma5_v1,73.88,61.48,True,True,12.4
4540,4540.T,ツムラ,2024-05,CONTINUE,4,59.81,72.2,True,True,12.39,2024-02,2760.0,3950.0,3950.0,43.12,2746.7,2724.92,2717.73,True,True,True,True,True,True,True,254330.0,3009.0,-8.28,False,1.05,1.76,0.7,True,3,False,1.13,-0.1,False,False,,tv_wilder_rsi14_sma5_v1,72.2,59.81,True,True,12.39
