code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30
9143,9143.T,ＳＧホールディングス,2025-01,CONTINUE,4,15.9,18.77,False,False,2.87,2024-10,1530.0,1464.0,1464.0,-4.31,,,,,,,,,,,
8370,8370.T,紀陽銀行,2025-01,NEW,1,73.84,76.69,True,True,2.86,2025-01,2320.0,2320.0,2320.0,0.0,2198.6,2048.23,1908.76,True,True,True,True,True,True,True,111210.0
4680,4680.T,ラウンドワン,2025-01,CONTINUE,2,79.18,82.02,False,True,2.84,2024-12,1313.0,1316.0,1316.0,0.23,,,,,,,,,,,
4301,4301.T,アミューズ,2025-01,NEW,1,50.82,53.57,True,True,2.75,2025-01,1522.0,1522.0,1522.0,0.0,1464.68,1406.12,1496.2,True,True,True,False,True,True,False,28187.0
5262,5262.T,日本ヒューム,2025-01,NEW,1,78.23,80.97,True,True,2.75,2025-01,767.5,767.5,767.5,0.0,678.02,654.09,599.14,True,True,True,True,True,True,True,142467.0
8065,8065.T,佐藤商事,2025-01,NEW,1,46.94,49.6,False,True,2.66,2025-01,1456.0,1456.0,1456.0,0.0,1434.36,1407.63,1516.16,True,True,False,False,True,True,False,16457.0
4704,4704.T,トレンドマイクロ,2025-01,CONTINUE,4,61.07,63.72,False,False,2.65,2024-10,8071.0,9230.0,9230.0,14.36,,,,,,,,,,,
7453,7453.T,良品計画,2025-01,NEW,1,84.91,87.55,True,True,2.64,2025-01,2061.0,2061.0,2061.0,0.0,1858.64,1586.93,1410.87,True,True,True,True,True,True,True,4468020.0
9605,9605.T,東映,2025-01,CONTINUE,6,73.66,76.28,False,False,2.62,2024-08,4270.0,5710.0,5710.0,33.72,,,,,,,,,,,
8125,8125.T,ワキタ,2025-01,NEW,1,64.94,67.54,True,True,2.6,2025-01,1808.0,1808.0,1808.0,0.0,1735.4,1633.83,1629.08,True,True,True,True,True,True,True,131500.0
