code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
8278,8278.T,フジ,2022-02,NEW,1,53.91,74.77,True,True,20.86,2022-02,3150.0,3150.0,3150.0,0.0,2048.08,1978.16,,True,True,,,True,True,,364113.0,,,,4.08,4.29,1.77,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,74.77,53.91,True,True,20.86
4310,4310.T,ドリームインキュベータ,2022-02,CONTINUE,3,52.91,72.17,True,True,19.26,2021-12,1582.0,2439.0,2439.0,54.17,1245.28,970.12,,True,True,,,True,True,,164043.0,,,,0.6,5.71,0.98,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,72.17,52.91,True,True,19.26
7991,7991.T,マミヤ・オーピー,2022-02,NEW,1,37.5,56.62,True,True,19.12,2022-02,822.0,822.0,822.0,0.0,700.36,646.83,,True,True,,,True,True,,25593.0,,,,0.45,3.96,0.79,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,56.62,37.5,True,True,19.12
2438,2438.T,アスカネット,2022-02,CONTINUE,2,40.54,57.14,True,True,16.6,2022-01,799.0,1266.0,1266.0,58.45,727.24,774.75,,True,True,,,False,False,,562397.0,,,,3.96,6.5,1.15,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,57.14,40.54,True,True,16.6
9827,9827.T,リリカラ,2022-02,NEW,1,52.2,68.4,True,True,16.2,2022-02,301.0,301.0,301.0,0.0,211.48,189.52,,True,True,,,True,True,,1406573.0,,,,1.86,10.68,1.76,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,68.4,52.2,True,True,16.2
5726,5726.T,大阪チタニウムテクノロジーズ,2022-02,CONTINUE,3,42.05,56.77,True,True,14.72,2021-12,790.0,1143.0,1143.0,44.68,793.32,812.8,,False,False,,,False,True,,261307.0,,,,0.63,2.32,0.78,True,1,False,,,,False,,tv_wilder_rsi14_sma5_v1,56.77,42.05,True,True,14.72
5541,5541.T,大平洋金属,2022-02,CONTINUE,6,54.81,69.43,True,True,14.62,2021-09,1867.0,3380.0,3380.0,81.04,1855.44,,,True,,,,,,,409387.0,,,,0.67,4.08,0.89,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,69.43,54.81,True,True,14.62
9119,9119.T,飯野海運,2022-02,NEW,1,64.23,78.64,True,True,14.41,2022-02,883.0,883.0,883.0,0.0,664.08,577.21,,True,True,,,True,True,,1441703.0,,,,1.63,5.69,1.36,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,78.64,64.23,True,True,14.41
8098,8098.T,稲畑産業,2022-02,CONTINUE,2,59.72,74.02,True,True,14.3,2022-01,1724.0,2321.0,2321.0,34.63,1686.08,1654.71,,True,True,,,True,False,,113547.0,,,,1.16,1.74,1.22,False,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,74.02,59.72,True,True,14.3
2003,2003.T,日東富士製粉,2022-02,CONTINUE,4,64.25,77.78,True,True,13.53,2021-11,863.75,1141.25,1141.25,32.13,852.75,834.23,,True,True,,,True,,,22627.0,,,,0.78,1.22,0.59,True,1,True,,,,False,,tv_wilder_rsi14_sma5_v1,77.78,64.25,True,True,13.53
9900,9900.T,サガミホールディングス,2022-02,CONTINUE,3,41.32,54.18,True,True,12.86,2021-12,1052.0,1198.0,1198.0,13.88,1033.4,1032.6,,True,True,,,False,True,,85333.0,,,,1.22,1.58,0.99,True,1,False,,,,False,,tv_wilder_rsi14_sma5_v1,54.18,41.32,True,True,12.86
