code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type
3391,3391.T,ツルハホールディングス,2022-11,CONTINUE,5,25.33,100.0,True,False,74.67,2022-07,1516.0,1774.0,1774.0,17.02,1508.08,1398.45,1905.26,True,True,False,False,True,False,False,2153367.0,,,,0.62,2.33,0.91,True,4,True,,,,False,
9830,9830.T,トラスコ中山,2022-11,CONTINUE,3,28.71,100.0,True,True,71.29,2022-09,1992.0,2087.0,2087.0,4.77,1965.12,1885.79,2169.86,True,True,False,False,True,True,False,117667.0,3080.0,-35.32,False,1.47,2.35,1.1,False,4,True,-9.91,1.9,False,False,
7244,7244.T,市光工業,2022-11,CONTINUE,4,29.66,100.0,True,True,70.34,2022-08,380.0,426.0,426.0,12.11,378.04,372.01,432.06,True,True,False,False,True,True,False,172260.0,719.0,-47.15,False,0.73,2.31,0.93,True,4,True,-18.59,1.88,False,False,
2930,2930.T,北の達人コーポレーション,2022-11,CONTINUE,6,30.88,100.0,True,False,69.12,2022-06,204.0,302.0,302.0,48.04,,,,,,,,,,,,,,,,,,,,,,,,False,
4206,4206.T,アイカ工業,2022-11,CONTINUE,6,32.19,100.0,False,False,67.81,2022-06,2832.0,3235.0,3235.0,14.23,,,,,,,,,,,,,,,,,,,,,,,,False,
9075,9075.T,福山通運,2022-11,CONTINUE,2,29.22,95.65,True,True,66.44,2022-10,3245.0,3500.0,3500.0,7.86,3278.0,3211.47,3406.68,False,True,False,False,True,True,False,166927.0,4835.0,-32.89,False,2.02,2.73,1.05,False,4,False,-8.07,-0.75,False,False,
8217,8217.T,オークワ,2022-11,CONTINUE,4,28.89,94.5,False,True,65.6,2022-08,911.0,942.0,942.0,3.4,898.0,873.84,914.62,True,True,False,False,True,True,False,37667.0,1260.0,-27.7,False,0.77,1.7,1.14,False,4,True,-5.09,1.73,False,False,
2980,2980.T,SREホールディングス,2022-11,CONTINUE,4,34.52,100.0,True,False,65.48,2022-08,2885.0,4575.0,4575.0,58.58,2988.88,2431.75,4127.57,False,True,False,False,True,True,False,649287.0,10270.0,-71.91,False,1.03,7.03,0.94,True,4,True,-9.19,3.81,False,False,
6240,6240.T,ヤマシンフィルタ,2022-11,CONTINUE,5,34.66,100.0,True,False,65.34,2022-07,330.0,482.0,482.0,46.06,324.32,326.04,422.43,True,True,False,False,True,False,False,334557.0,,,,0.73,2.51,0.93,True,4,True,,,,False,
4587,4587.T,ペプチドリーム,2022-11,CONTINUE,5,19.51,84.36,True,True,64.85,2022-07,1655.0,1712.0,1712.0,3.44,1510.8,1649.71,2125.94,True,True,False,False,True,False,False,1138973.0,,,,1.3,3.58,0.91,True,4,True,,,,False,
7034,7034.T,プロレド・パートナーズ,2022-11,CONTINUE,7,11.9,74.16,True,True,62.26,2022-05,548.0,578.0,578.0,5.47,,,,,,,,,,,,,,,,,,,,,,,,False,
7864,7864.T,フジシールインターナショナル,2022-11,CONTINUE,2,34.55,94.78,True,True,60.23,2022-10,1743.0,1869.0,1869.0,7.23,1621.04,1563.24,1667.27,True,True,True,False,True,True,False,192523.0,2594.0,-32.81,False,1.83,2.57,1.02,False,3,True,-5.01,2.15,False,False,
8059,8059.T,第一実業,2022-11,CONTINUE,3,40.47,100.0,True,False,59.53,2022-09,1281.67,1413.33,1413.33,10.27,1275.67,1182.6,1308.46,True,True,False,False,True,True,False,58810.0,1790.0,-28.4,False,1.36,1.25,0.97,True,4,True,-5.39,-0.33,False,False,
3662,3662.T,エイチームホールディングス,2022-11,CONTINUE,7,24.46,83.11,True,True,58.65,2022-05,731.0,829.0,829.0,13.41,,,,,,,,,,,,,,,,,,,,,,,,False,
3539,3539.T,ＪＭホールディングス,2022-11,CONTINUE,3,35.7,93.85,True,False,58.14,2022-09,841.5,879.5,879.5,4.52,811.36,799.22,820.91,True,True,True,False,True,True,False,75793.0,1136.0,-25.92,False,0.94,2.36,0.91,True,3,True,-3.28,1.91,False,False,
