code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
8086,8086.T,ニプロ,2025-11,OUT,5,62.37,63.54,True,True,1.17,2025-07,1390.5,1506.0,1506.0,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1477.0,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.54,62.37,True,True,1.17
8111,8111.T,ゴールドウイン,2025-11,OUT,2,45.13,52.5,True,True,7.37,2025-10,2550.0,2951.0,2951.0,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2509.5,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.5,45.13,True,True,7.37
8130,8130.T,サンゲツ,2025-11,OUT,1,60.68,62.12,True,True,1.43,2025-11,3140.0,3140.0,3140.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3110.0,-0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.12,60.68,True,True,1.43
8132,8132.T,シナネンホールディングス,2025-11,OUT,1,64.28,64.41,True,True,0.12,2025-11,6810.0,6810.0,6810.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,6300.0,-7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.41,64.28,True,True,0.12
8174,8174.T,日本瓦斯,2025-11,OUT,2,70.48,73.67,True,True,3.19,2025-10,2948.5,3046.0,3046.0,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2970.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,73.67,70.48,True,True,3.19
8179,8179.T,ロイヤルホールディングス,2025-11,OUT,1,56.1,57.31,True,True,1.2,2025-11,1369.0,1369.0,1369.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1318.0,-3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,57.31,56.1,True,True,1.2
8227,8227.T,しまむら,2025-11,OUT,1,70.56,70.93,False,True,0.37,2025-11,11190.0,11190.0,11190.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,10220.0,-8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.93,70.56,True,False,0.37
8233,8233.T,高島屋,2025-11,OUT,5,64.8,70.11,True,True,5.3,2025-07,1166.5,1681.0,1681.0,44.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1641.5,40.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.11,64.8,True,True,5.3
8242,8242.T,エイチ・ツー・オー   リテイリング,2025-11,OUT,4,55.09,56.72,True,True,1.62,2025-08,2084.0,2174.0,2174.0,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2054.5,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.72,55.09,True,True,1.62
8267,8267.T,イオン,2025-11,OUT,9,85.86,93.1,True,True,7.24,2025-03,1250.0,2827.5,2827.5,126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2477.0,98.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,93.1,85.86,True,True,7.24
8276,8276.T,平和堂,2025-11,OUT,1,67.48,68.4,True,True,0.92,2025-11,2990.0,2990.0,2990.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2883.0,-3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,68.4,67.48,True,True,0.92
8303,8303.T,SBI新生銀行,2025-11,OUT,7,81.49,100.0,True,False,18.51,2023-04,2423.0,55319998464.0,55319998464.0,2283119935.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1740.0,-28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,100.0,81.49,False,True,18.51
8308,8308.T,りそなホールディングス,2025-11,OUT,6,72.62,74.91,True,True,2.3,2025-06,1332.0,1589.5,1589.5,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1493.0,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,74.91,72.62,True,True,2.3
8334,8334.T,群馬銀行,2025-11,OUT,5,81.18,82.03,True,True,0.85,2025-07,1420.0,1734.5,1734.5,22.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1727.5,21.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,82.03,81.18,True,True,0.85
8697,8697.T,日本取引所グループ,2025-11,OUT,4,53.58,60.41,True,True,6.83,2025-08,1548.5,1791.5,1791.5,15.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1676.0,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.41,53.58,True,True,6.83
8860,8860.T,フジ住宅,2025-11,OUT,5,57.98,63.08,True,True,5.11,2025-07,694.0,833.0,833.0,20.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,820.0,18.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,63.08,57.98,True,True,5.11
8934,8934.T,サンフロンティア不動産,2025-11,OUT,1,72.69,74.47,True,True,1.78,2025-11,2439.0,2439.0,2439.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2400.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,74.47,72.69,True,True,1.78
9052,9052.T,山陽電気鉄道,2025-11,OUT,1,49.65,51.42,True,True,1.77,2025-11,2086.0,2086.0,2086.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2085.0,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.42,49.65,True,True,1.77
9072,9072.T,ニッコンホールディングス,2025-11,OUT,1,84.17,84.79,False,True,0.62,2025-11,3697.0,3697.0,3697.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3406.0,-7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,84.79,84.17,True,False,0.62
9143,9143.T,ＳＧホールディングス,2025-11,OUT,1,44.13,45.69,True,True,1.56,2025-11,1560.5,1560.5,1560.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1433.5,-8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,45.69,44.13,True,True,1.56
9267,9267.T,ＧｅｎｋｙＤｒｕｇＳｔｏｒｅｓ,2025-11,OUT,8,73.03,75.6,True,True,2.57,2025-04,3685.0,5210.0,5210.0,41.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,4960.0,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,75.6,73.03,True,True,2.57
9324,9324.T,安田倉庫,2025-11,OUT,5,83.32,85.57,True,True,2.25,2025-07,1987.0,2238.0,2238.0,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2201.0,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,85.57,83.32,True,True,2.25
