code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date
1332,1332.T,ニッスイ,2022-10,OUT,1,40.45,53.1,False,True,12.65,2022-10,530.0,530.0,530.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,522.0,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,1333.T,Ｕｍｉｏｓ,2022-10,OUT,3,42.54,54.92,False,False,12.38,2022-08,830.67,764.33,764.33,-7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,818.67,-1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,1379.T,ホクト,2022-10,OUT,1,44.82,58.06,False,True,13.24,2022-10,1920.0,1920.0,1920.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,1890.0,-1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,1414.T,ショーボンドホールディングス,2022-10,OUT,17,81.21,89.29,False,False,8.07,2021-06,1156.25,1610.0,1610.0,39.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,1515.0,31.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,1721.T,コムシスホールディングス,2022-10,OUT,1,34.56,51.69,True,True,17.13,2022-10,2440.0,2440.0,2440.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,2467.0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,1801.T,大成建設,2022-10,OUT,7,63.8,65.89,True,False,2.09,2022-04,3525.0,4055.0,4055.0,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,4165.0,18.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,1812.T,鹿島建設,2022-10,OUT,1,48.95,51.96,True,True,3.01,2022-10,1401.0,1401.0,1401.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,1550.0,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,1833.T,奥村組,2022-10,OUT,1,42.45,46.3,False,True,3.84,2022-10,2812.0,2812.0,2812.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,2936.0,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,1871.T,ピーエス・コンストラクション,2022-10,OUT,6,44.33,57.95,False,False,13.62,2022-05,602.0,616.0,616.0,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,603.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,1885.T,東亜建設工業,2022-10,OUT,1,53.28,57.84,True,True,4.56,2022-10,608.0,608.0,608.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,588.5,-3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,1893.T,五洋建設,2022-10,OUT,7,54.73,90.15,True,True,35.42,2022-04,637.0,740.0,740.0,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,647.0,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1934.T,ユアテック,2022-10,OUT,3,51.69,60.54,True,True,8.85,2022-08,751.0,712.0,712.0,-5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,719.0,-4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,1939.T,四電工,2022-10,OUT,1,56.25,64.87,False,True,8.62,2022-10,603.33,603.33,603.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,591.33,-1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
