code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1384,1384.T,ホクリヨウ,2021-07,OUT,5,55.85,60.4,True,True,4.55,2021-03,719.0,817.0,817.0,13.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,755.0,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.4,55.85,True,True,4.55
1401,1401.T,エムビーエス,2021-07,OUT,1,41.54,42.45,False,True,0.91,2021-07,571.0,571.0,571.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,535.0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.45,41.54,True,False,0.91
1419,1419.T,タマホーム,2021-07,OUT,1,68.26,68.48,True,True,0.21,2021-07,2548.0,2548.0,2548.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,2470.0,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,68.48,68.26,True,True,0.21
1420,1420.T,サンヨーホームズ,2021-07,OUT,1,51.28,51.78,False,True,0.5,2021-07,746.0,746.0,746.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,717.0,-3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.78,51.28,True,False,0.5
1435,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,2021-07,OUT,3,43.2,43.4,True,False,0.2,2021-05,261.0,208.0,208.0,-20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,212.0,-18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.4,43.2,False,True,0.2
1605,1605.T,ＩＮＰＥＸ,2021-07,OUT,9,48.43,48.61,False,False,0.19,2020-11,584.0,775.0,775.0,32.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,758.0,29.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,48.61,48.43,False,False,0.19
1717,1717.T,明豊ファシリティワークス,2021-07,OUT,5,64.94,72.2,True,True,7.25,2021-03,670.0,976.0,976.0,45.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,913.0,36.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.2,64.94,True,True,7.25
1724,1724.T,シンクレイヤ,2021-07,OUT,3,54.0,58.72,True,True,4.72,2021-05,1300.0,1230.0,1230.0,-5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1023.0,-21.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,58.72,54.0,True,True,4.72
1736,1736.T,オーテック,2021-07,OUT,8,59.37,62.68,True,True,3.31,2020-12,759.33,856.67,856.67,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,768.33,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,62.68,59.37,True,True,3.31
1770,1770.T,藤田エンジニアリング,2021-07,OUT,14,70.96,72.61,True,True,1.65,2020-06,739.0,1056.0,1056.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,941.0,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.61,70.96,True,True,1.65
1807,1807.T,佐藤渡辺,2021-07,OUT,9,69.59,70.48,True,False,0.89,2020-11,1058.0,1620.0,1620.0,53.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1575.0,48.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.48,69.59,False,True,0.89
1814,1814.T,大末建設,2021-07,OUT,6,54.86,56.15,True,True,1.29,2021-02,875.0,999.0,999.0,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,986.0,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.15,54.86,True,True,1.29
1815,1815.T,鉄建建設,2021-07,OUT,1,35.96,36.1,True,True,0.14,2021-07,1857.0,1857.0,1857.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1810.0,-2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,36.1,35.96,True,True,0.14
1822,1822.T,大豊建設,2021-07,OUT,15,70.42,72.82,True,True,2.41,2020-05,501.0,849.0,849.0,69.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,799.0,59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,72.82,70.42,True,True,2.41
1827,1827.T,ナカノフドー建設,2021-07,OUT,3,44.39,46.39,True,False,2.0,2021-05,402.0,410.0,410.0,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,363.0,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.39,44.39,False,True,2.0
1852,1852.T,淺沼組,2021-07,OUT,7,57.96,60.44,True,True,2.48,2021-01,423.5,470.5,470.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,447.0,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.44,57.96,True,True,2.48
1878,1878.T,大東建託,2021-07,OUT,2,50.63,53.76,True,True,3.13,2021-06,2430.0,2568.0,2568.0,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,2416.0,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.76,50.63,True,True,3.13
1882,1882.T,東亜道路工業,2021-07,OUT,15,68.95,71.1,True,True,2.14,2020-05,325.5,465.5,465.5,43.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,459.5,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,71.1,68.95,True,True,2.14
1885,1885.T,東亜建設工業,2021-07,OUT,15,68.38,68.42,True,False,0.04,2020-05,411.25,615.25,615.25,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,576.25,40.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,68.42,68.38,False,True,0.04
1897,1897.T,金下建設,2021-07,OUT,5,43.06,43.85,True,False,0.79,2021-03,3550.0,3670.0,3670.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,3500.0,-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.85,43.06,False,True,0.79
1948,1948.T,弘電社,2021-07,OUT,1,56.7,56.94,True,True,0.23,2021-07,1004.0,1004.0,1004.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,984.0,-1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.94,56.7,True,True,0.23
1994,1994.T,高橋カーテンウォール工業,2021-07,OUT,1,55.88,56.69,True,True,0.81,2021-07,691.0,691.0,691.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,635.0,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.69,55.88,True,True,0.81
1997,1997.T,暁飯島工業,2021-07,OUT,6,55.87,60.64,True,True,4.77,2021-02,1486.0,1650.0,1650.0,11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1528.0,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.64,55.87,True,True,4.77
2122,2122.T,インタースペース,2021-07,OUT,1,43.3,44.34,False,True,1.04,2021-07,1059.0,1059.0,1059.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1018.0,-3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,44.34,43.3,True,False,1.04
2186,2186.T,ソーバル,2021-07,OUT,7,51.53,55.01,True,True,3.48,2021-01,928.0,1110.0,1110.0,19.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1028.0,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,55.01,51.53,True,True,3.48
2292,2292.T,Ｓ　Ｆｏｏｄｓ,2021-07,OUT,1,52.47,52.74,True,True,0.27,2021-07,3410.0,3410.0,3410.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,3170.0,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.74,52.47,True,True,0.27
2300,2300.T,きょくとう,2021-07,OUT,2,43.75,44.22,True,False,0.47,2021-06,497.0,497.0,497.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,493.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,44.22,43.75,False,True,0.47
2304,2304.T,ＣＳＳホールディングス,2021-07,OUT,2,42.7,43.42,True,False,0.72,2021-06,290.0,276.0,276.0,-4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,256.0,-11.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,43.42,42.7,False,True,0.72
2305,2305.T,スタジオアリス,2021-07,OUT,12,61.45,61.82,True,False,0.37,2020-08,1531.0,2378.0,2378.0,55.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,2246.0,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.82,61.45,False,True,0.37
2331,2331.T,ＡＬＳＯＫ,2021-07,OUT,3,48.4,49.59,True,True,1.19,2021-05,1002.0,1022.0,1022.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,997.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,49.59,48.4,True,True,1.19
2338,2338.T,クオンタムソリューションズ,2021-07,OUT,5,64.18,64.48,True,False,0.3,2021-03,213.67,288.33,288.33,34.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,271.67,27.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.48,64.18,False,True,0.3
2388,2388.T,ウェッジホールディングス,2021-07,OUT,1,40.84,42.43,True,True,1.59,2021-07,106.0,106.0,106.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,97.0,-8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,42.43,40.84,True,True,1.59
2391,2391.T,プラネット,2021-07,OUT,10,47.08,47.18,True,False,0.1,2020-10,1428.0,1520.0,1520.0,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1497.0,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,47.18,47.08,False,True,0.1
2395,2395.T,新日本科学,2021-07,OUT,5,59.16,70.46,True,True,11.3,2021-03,699.0,1036.0,1036.0,48.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,850.0,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.46,59.16,True,True,11.3
2404,2404.T,鉄人化ホールディングス,2021-07,OUT,6,49.13,51.43,True,False,2.29,2021-02,273.0,309.0,309.0,13.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,296.0,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.43,49.13,False,True,2.29
2429,2429.T,ワールドホールディングス,2021-07,OUT,2,61.9,64.73,True,True,2.83,2021-06,3035.0,3175.0,3175.0,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,2603.0,-14.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.73,61.9,True,True,2.83
2449,2449.T,プラップジャパン,2021-07,OUT,5,48.67,52.82,True,True,4.15,2021-03,1326.0,1397.0,1397.0,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,1327.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,52.82,48.67,True,True,4.15
