code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
5122,5122.T,オカモト,2023-05,OUT,4,49.21,67.68,False,False,18.47,2023-02,3900.0,3880.0,3880.0,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5302,5302.T,日本カーボン,2023-05,OUT,1,54.16,59.09,True,True,4.94,2023-05,4345.0,4345.0,4345.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,4345.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5310,5310.T,東洋炭素,2023-05,OUT,1,72.13,77.0,True,True,4.88,2023-05,5040.0,5040.0,5040.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,5120.0,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,
5332,5332.T,ＴＯＴＯ,2023-05,OUT,1,41.5,42.45,False,False,0.95,2023-05,4235.0,4235.0,4235.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,4325.0,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,
5333,5333.T,ＮＧＫ,2023-05,OUT,1,46.95,50.98,True,True,4.03,2023-05,1683.0,1683.0,1683.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1714.0,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,5401.T,日本製鉄,2023-05,OUT,7,60.22,67.18,False,False,6.96,2022-11,438.5,543.1,543.1,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,600.8,37.01,,,,,,,,,,,,,,,,,,,,,,,,,,
5423,5423.T,東京製鐵,2023-05,OUT,1,56.22,68.86,False,True,12.64,2023-05,1367.0,1367.0,1367.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1358.0,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,
5541,5541.T,大平洋金属,2023-05,OUT,1,12.59,20.12,False,False,7.53,2023-05,1593.0,1593.0,1593.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1519.0,-4.65,,,,,,,,,,,,,,,,,,,,,,,,,,
5702,5702.T,大紀アルミニウム工業所,2023-05,OUT,8,38.1,54.47,True,False,16.38,2022-10,1283.0,1275.0,1275.0,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1396.0,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,5706.T,三井金属,2023-05,OUT,4,41.53,48.08,False,False,6.55,2023-02,3355.0,3055.0,3055.0,-8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3309.0,-1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
5713,5713.T,住友金属鉱山,2023-05,OUT,7,28.48,36.18,False,False,7.7,2022-11,4645.0,4230.0,4230.0,-8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,4631.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5857,5857.T,ＡＲＥホールディングス,2023-05,OUT,3,34.08,43.6,False,True,9.51,2023-03,2022.0,1883.0,1883.0,-6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1941.0,-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
5959,5959.T,岡部,2023-05,OUT,8,57.26,63.88,False,False,6.61,2022-10,703.0,758.0,758.0,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,734.0,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,
5981,5981.T,東京製綱,2023-05,OUT,4,57.06,66.72,False,False,9.66,2023-02,1257.0,1055.0,1055.0,-16.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1163.0,-7.48,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,6099.T,エラン,2023-05,OUT,1,38.79,39.77,False,False,0.99,2023-05,866.0,866.0,866.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,873.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,6101.T,ツガミ,2023-05,OUT,7,48.98,65.6,False,False,16.62,2022-11,1184.0,1309.0,1309.0,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1379.0,16.47,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,6136.T,オーエスジー,2023-05,OUT,1,51.28,61.54,True,True,10.25,2023-05,1919.0,1919.0,1919.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2058.5,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,
