code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
8065,8065.T,佐藤商事,2023-05,OUT,7,66.99,75.0,True,False,8.01,2022-11,1196.0,1362.0,1362.0,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1450.0,21.24,,,,,,,,,,,,,,,,,,,,,,,,,,
8078,8078.T,阪和興業,2023-05,OUT,10,70.03,73.05,True,False,3.03,2022-08,691.0,826.0,826.0,19.54,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,905.0,30.97,,,,,,,,,,,,,,,,,,,,,,,,,,
8179,8179.T,ロイヤルホールディングス,2023-05,OUT,6,67.96,74.9,False,False,6.94,2022-12,1160.0,1344.5,1344.5,15.91,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1319.0,13.71,,,,,,,,,,,,,,,,,,,,,,,,,,
8377,8377.T,ほくほくフィナンシャルグループ,2023-05,OUT,8,62.68,63.79,True,True,1.12,2022-10,893.0,1073.0,1073.0,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1149.5,28.72,,,,,,,,,,,,,,,,,,,,,,,,,,
8609,8609.T,岡三証券グループ,2023-05,OUT,8,63.14,68.75,True,True,5.61,2022-10,354.0,437.0,437.0,23.45,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,477.0,34.75,,,,,,,,,,,,,,,,,,,,,,,,,,
8818,8818.T,京阪神ビルディング,2023-05,OUT,2,34.44,39.68,False,False,5.24,2023-04,639.5,594.5,594.5,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,576.5,-9.85,,,,,,,,,,,,,,,,,,,,,,,,,,
8892,8892.T,エスコン,2023-05,OUT,1,45.9,49.15,False,False,3.25,2023-05,779.0,779.0,779.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,824.0,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,
9005,9005.T,東急,2023-05,OUT,1,61.01,66.28,False,False,5.27,2023-05,1802.0,1802.0,1802.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1734.5,-3.75,,,,,,,,,,,,,,,,,,,,,,,,,,
9008,9008.T,京王電鉄,2023-05,OUT,1,52.01,54.86,False,True,2.85,2023-05,982.0,982.0,982.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,904.6,-7.88,,,,,,,,,,,,,,,,,,,,,,,,,,
9279,9279.T,ギフトホールディングス,2023-05,OUT,11,90.2,93.28,True,True,3.08,2022-07,1328.5,2625.0,2625.0,97.59,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2462.5,85.36,,,,,,,,,,,,,,,,,,,,,,,,,,
9424,9424.T,日本通信,2023-05,OUT,4,66.67,100.0,False,True,33.33,2023-02,223.0,257.0,257.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,242.0,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,
9722,9722.T,藤田観光,2023-05,OUT,2,79.42,87.33,True,True,7.91,2023-04,706.0,723.0,723.0,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,679.0,-3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
9769,9769.T,学究社,2023-05,OUT,7,86.97,87.55,True,False,0.58,2022-11,1786.0,2146.0,2146.0,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2100.0,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,
9788,9788.T,ナック,2023-05,OUT,5,48.42,57.53,True,False,9.11,2023-01,480.5,473.0,473.0,-1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,480.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9790,9790.T,福井コンピュータホールディングス,2023-05,OUT,1,36.75,54.75,False,True,18.01,2023-05,2704.0,2704.0,2704.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2785.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9837,9837.T,モリト,2023-05,OUT,5,68.99,82.83,False,False,13.83,2023-01,951.0,999.0,999.0,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1059.0,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,
9900,9900.T,サガミホールディングス,2023-05,OUT,4,54.9,59.71,False,False,4.81,2023-02,1278.0,1249.0,1249.0,-2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1256.0,-1.72,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,9928.T,ミロク情報サービス,2023-05,OUT,5,52.54,54.09,False,False,1.55,2023-01,1622.0,1502.0,1502.0,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1568.0,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,,
9962,9962.T,ミスミグループ本社,2023-05,OUT,9,40.73,59.6,False,True,18.87,2022-09,3120.0,3050.0,3050.0,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2869.0,-8.04,,,,,,,,,,,,,,,,,,,,,,,,,,
